Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
141,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
161,4,3600,2,3,1,2.25,0.433012702,9,2,2,3,75,3,1,25,2,3
162,3,2700,1,2,1,1.333333333,0.471404521,4,2,1,2,66.66670227,2,1,33.33330154,1,2
163,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
165,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
193,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
194,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
197,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
227,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
229,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
231,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
232,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
234,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
235,4,3600,4,4,0,4,0,16,1,4,4,100,4,4,100,4,4
270,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
276,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
279,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
281,4,3600,3,4,1,3.5,0.5,14,2,3,2,50,3,2,50,3,4
282,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
284,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
315,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
318,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
319,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
320,3,2700,4,4,0,4,0,12,1,4,3,100,4,3,100,4,4
324,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
327,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
329,3,2700,1,2,1,1.333333333,0.471404521,4,2,1,2,66.66670227,2,1,33.33330154,1,2
330,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
331,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
360,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
361,3,2700,1,1,0,1,0,3,1,1,3,100,1,3,100,1,1
366,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
367,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
369,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
370,2,1800,2,2,0,2,0,4,1,2,2,100,2,2,100,2,2
371,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
375,2,1800,1,2,1,1.5,0.5,3,2,1,1,50,1,1,50,1,2
413,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
417,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
419,2,1800,4,4,0,4,0,8,1,4,2,100,4,2,100,4,4
420,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
421,4,3600,3,4,1,3.5,0.5,14,2,3,2,50,3,2,50,3,4
423,4,3600,3,4,1,3.25,0.433012702,13,2,3,3,75,4,1,25,3,4
424,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
425,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
460,2,1800,4,4,0,4,0,8,1,4,2,100,4,2,100,4,4
464,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
466,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
467,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
499,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
502,3,2700,4,4,0,4,0,12,1,4,3,100,4,3,100,4,4
503,3,2700,3,4,1,3.666666667,0.471404521,11,2,4,2,66.66670227,3,1,33.33330154,4,4
505,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
506,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
535,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
536,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
538,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
540,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
541,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
545,3,2700,3,4,1,3.333333333,0.471404521,10,2,3,2,66.66670227,4,1,33.33330154,3,4
574,3,2700,2,2,0,2,0,6,1,2,3,100,2,3,100,2,2
577,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
581,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
585,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
618,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
620,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
653,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
657,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
659,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
661,4,3600,2,3,1,2.75,0.433012702,11,2,3,3,75,2,1,25,3,3
662,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
666,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
669,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
707,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
708,3,2700,4,4,0,4,0,12,1,4,3,100,4,3,100,4,4
711,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
717,4,3600,2,3,1,2.5,0.5,10,2,2,2,50,2,2,50,2,3
718,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
719,4,3600,3,4,1,3.25,0.433012702,13,2,3,3,75,4,1,25,3,4
758,3,2700,1,2,1,1.333333333,0.471404521,4,2,1,2,66.66670227,2,1,33.33330154,1,2
761,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
766,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
806,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
808,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
810,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
812,2,1800,2,3,1,2.5,0.5,5,2,2,1,50,2,1,50,2,3
815,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
857,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
859,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
860,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
865,4,3600,4,4,0,4,0,16,1,4,4,100,4,4,100,4,4
900,3,2700,2,3,1,2.666666667,0.471404521,8,2,3,2,66.66670227,2,1,33.33330154,3,3
903,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
