"Card","LiveBasal","DeadBasal","TotalBasal","LiveBasal_PLI","DeadBasal_PLI","TotalBasal_PLI","LiveBasal_FDI","DeadBasal_FDI","TotalBasal_FDI","LiveBasal_Spruce","DeadBasal_Spruce","TotalBasal_Spruce","LiveBasal_NonCon","DeadBasal_NonCon","TotalBasal_NonCon"
-1291634974,1.04489371658397,0,1.04489371658397,1.04489371658397,0,1.04489371658397,0,0,0,0,0,0,0,0,0
0,0.119459060652752,0.240331837999619,0.359790898652371,0,0,0,0.119459060652752,0.240331837999619,0.359790898652371,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.8101271459154,0,13.8101271459154,13.8101271459154,0,13.8101271459154,0,0,0,0,0,0,0,0,0
20,0,7.67428253418915,7.67428253418915,0,6.46665431814923,6.46665431814923,0,0,0,0,1.20762821603992,1.20762821603992,0,0,0
141,0.220618344098343,1.59168791794127,1.81230626203961,0,0.36316811075498,0.36316811075498,0.220618344098343,1.22851980718629,1.44913815128463,0,0,0,0,0,0
158,0.444613900299295,0,0.444613900299295,0,0,0,0,0,0,0.444613900299295,0,0.444613900299295,0,0,0
159,93.6636789935751,0,93.6636789935751,0,0,0,93.6636789935751,0,93.6636789935751,0,0,0,0,0,0
161,19.3241720316798,0,21.8688620810876,0,0,0,0,0,0,0.502654824574367,0,0.502654824574367,18.8215172071055,0,21.3662072565132
162,9.59520936222663,1.05683176866761,10.6520411308942,1.79078635236252,0,1.79078635236252,0,0,0,0,0,0,7.8044230098641,1.05683176866761,8.86125477853171
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4.5112485107386,0.907056338907713,5.41830484964632,4.5112485107386,0.907056338907713,5.41830484964632,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,3.43572426578214,1.02070345315132,4.45642771893346,2.43284935093994,1.02070345315132,3.45355280409126,0,0,0,0,0,0,1.0028749148422,0,1.0028749148422
197,0,0.125663706143592,0.125663706143592,0,0.125663706143592,0.125663706143592,0,0,0,0,0,0,0,0,0
227,7.88547610032672,5.08026948012005,12.9657455804468,7.88547610032672,5.08026948012005,12.9657455804468,0,0,0,0,0,0,0,0,0
229,9.02021936680336,3.14072871561006,12.1609480824134,0,0,0,0,0,0,0,0,0,9.02021936680336,3.14072871561006,12.1609480824134
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,3.03242230887755,3.03242230887755,0,3.03242230887755,3.03242230887755,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0.519697964720092,0.519697964720092,0,0.519697964720092,0.519697964720092,0,0,0,0,0,0,0,0,0
270,0.173494454294496,0,0.173494454294496,0.173494454294496,0,0.173494454294496,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,3.87986692718339,3.87986692718339,0,1.33517687777566,1.33517687777566,0,0,0,0,2.54469004940773,2.54469004940773,0,0,0
281,0,1.58367685667461,1.58367685667461,0,1.58367685667461,1.58367685667461,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,2.72957277707149,2.72957277707149,0,0.6647610054996,0.6647610054996,0,2.06481177157189,2.06481177157189,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,4.39838679465839,4.39838679465839,0,0,0,0,4.39838679465839,4.39838679465839,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0.701282020097582,0.974914740225253,1.67619676032283,0.4185386812745,0,0.4185386812745,0.282743338823081,0.974914740225253,1.25765807904833,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,3.14159265358979,1.51495451737734,4.65654717096713,0,1.51495451737734,1.51495451737734,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
