"","X","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","Dominant","LeadingSpecies","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent","Trans"
"1",1,"20","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2023,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI, SX",97,0,3,0," PLI SX","PLI","PLI",97,"SX",3,NA,NA,NA,NA,"static"
"2",2,"141","IDF","dk",4,"PLI",55,"SX",25,"FDI",19,"AT",1,55,19,25,1," PLI FDI SX AT",2023,"Mix","PLI",55,"SX",25,"FDI",19,"AT",1,"AT, FDI, PLI",4,88,0,8," PLI FDI AT","FDI","FDI",88,"AT",8,"PLI",4,NA,NA,"shift"
"3",3,"158","IDF","dk",4,"PLI",44.5,"AT",44.20000076,"FDI",11.30000019,"",NA,44.5,11.30000019,0,44.20000076," PLI FDI AT",2023,"Mix","PLI",44.5,"AT",44.20000076,"FDI",11.30000019,NA,NA,"AT, FDI, SX",0,8,82,10," FDI SX AT","SX","SX",82,"AT",10,"FDI",8,NA,NA,"shift"
"4",4,"159","IDF","dk",4,"FDI",87.5,"PLI",12.5,"",NA,"",NA,12.5,87.5,0,0," PLI FDI",2023,"FDI","FDI",87.5,"PLI",12.5,NA,NA,NA,NA,"FDI",0,100,0,0," FDI","FDI","FDI",100,NA,NA,NA,NA,NA,NA,"static"
"5",5,"161","SBPS","xc",NA,"PLI",78,"AT",16,"SX",6,"",NA,78,0,6,16," PLI SX AT",2023,"Mix","PLI",78,"AT",16,"SX",6,NA,NA,"AT, SX",0,0,10,90," SX AT","AT","AT",90,"SX",10,NA,NA,NA,NA,"shift"
"6",6,"162","SBPS","xc",NA,"AT",80,"PLI",20,"",NA,"",NA,20,0,0,80," PLI AT",2023,"AT","AT",80,"PLI",20,NA,NA,NA,NA,"AT, FDI, PLI, SX",5,1,1,94," PLI FDI SX AT","AT","AT",94,"PLI",5,"FDI",1,"SX",1,"static"
"7",7,"163","IDF","dk",4,"PLI",53,"FDI",46,"AT",1,"",NA,53,46,0,1," PLI FDI AT",2023,"Mix","PLI",53,"FDI",46,"AT",1,NA,NA,"AT, PLI",33,0,0,67," PLI AT","Mix","AT",67,"PLI",33,NA,NA,NA,NA,"static"
"8",8,"165","IDF","dk",4,"PLI",55,"SX",25,"FDI",19,"AT",1,55,19,25,1," PLI FDI SX AT",2023,"Mix","PLI",55,"SX",25,"FDI",19,"AT",1,"FDI, PLI",99,1,0,0," PLI FDI","PLI","PLI",99,"FDI",1,NA,NA,NA,NA,"shift"
"9",9,"194","IDF","dk",4,"FDI",85,"SX",15,"",NA,"",NA,0,85,15,0," FDI SX",2023,"FDI","FDI",85,"SX",15,NA,NA,NA,NA,"AT, FDI, PLI",2,1,0,97," PLI FDI AT","AT","AT",97,"PLI",2,"FDI",1,NA,NA,"shift"
"10",10,"197","IDF","dk",4,"PLI",57,"FDI",27,"AT",12,"SX",4,57,27,4,12," PLI FDI SX AT",2023,"Mix","PLI",57,"FDI",27,"AT",12,"SX",4,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA,"shift"
