"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","13","2009",51.6164,-123.2166,1468,2.4,11.7,-7.3,19,535,160,23.2,72.7,796,670,5682,6,127,180,247,67,311,-40.6,28.9,489,288,12.1,62,17.82,146,-1.2,7.7,16.9,6.8,-10.6,-3.8,3.4,-2.9,-5.9,2,10.1,2,142,96,68,215,5.7,15.7,21,8,486,117,1,192,4,64,479,123,2021,1477,725,1459,0,1,3,1,4,16,76,31,98,50,3,160,0,126,288,74,0,68,220,0,62,59,58,65,14.93,3.43,-15.29,14.75
"2","13","2009",51.61646,-123.2166,1468,2.4,11.7,-7.3,19,535,160,23.2,72.7,796,670,5682,6,127,180,247,67,311,-40.6,28.9,489,288,12.1,62,17.82,146,-1.2,7.7,16.9,6.8,-10.6,-3.8,3.4,-2.9,-5.9,2,10.1,2,142,96,68,215,5.7,15.7,21,8,486,117,1,192,4,64,479,123,2021,1477,725,1459,0,1,3,1,4,16,76,31,98,50,3,160,0,126,288,74,0,68,220,0,62,59,58,65,14.93,3.43,-15.29,14.75
"3","13","2009",51.6164,-123.2166,1468,2.4,11.7,-7.3,19,535,160,23.2,72.7,796,670,5682,6,127,180,247,67,311,-40.6,28.9,489,288,12.1,62,17.82,146,-1.2,7.7,16.9,6.8,-10.6,-3.8,3.4,-2.9,-5.9,2,10.1,2,142,96,68,215,5.7,15.7,21,8,486,117,1,192,4,64,479,123,2021,1477,725,1459,0,1,3,1,4,16,76,31,98,50,3,160,0,126,288,74,0,68,220,0,62,59,58,65,14.93,3.43,-15.29,14.75
"4","13","2009",51.61646,-123.2166,1468,2.4,11.7,-7.3,19,535,160,23.2,72.7,796,670,5682,6,127,180,247,67,311,-40.6,28.9,489,288,12.1,62,17.82,146,-1.2,7.7,16.9,6.8,-10.6,-3.8,3.4,-2.9,-5.9,2,10.1,2,142,96,68,215,5.7,15.7,21,8,486,117,1,192,4,64,479,123,2021,1477,725,1459,0,1,3,1,4,16,76,31,98,50,3,160,0,126,288,74,0,68,220,0,62,59,58,65,14.93,3.43,-15.29,14.75
"5","20","2009",51.62508,-123.2015,1492,2.3,11.6,-7.4,18.9,545,162,22.5,71.6,810,655,5722,5,126,180,247,67,325,-40.5,28.7,484,282,12.5,62,19.5,139,-1.5,7.5,16.7,6.7,-10.6,-3.9,3.3,-3,-6,1.8,10,1.8,147,97,70,218,6.2,15.9,21.3,8.5,491,121,1,196,4,61,470,120,2027,1490,735,1470,0,1,3,1,4,16,75,31,102,53,4,167,0,125,286,73,0,66,216,0,63,60,58,65,15.39,3.76,-14.85,15.2
"6","158","2009",51.79662,-123.641,1194,3.3,13.3,-7.5,20.8,342,144,38.9,91.8,750,882,5346,11,137,174,246,72,149,-41.2,31,578,388,11.2,58,-10.01,260,-1.2,9.6,19.3,8.4,-11.3,-3.1,4.1,-2.6,-6.3,3.3,11.7,2.9,74,63,57,138,5.1,14.4,20.1,7.1,500,82,0,168,4,98,623,156,2035,1356,577,1378,0,2,7,2,4,21,80,32,54,20,1,74,0,172,323,83,0,110,266,12,59,57,54,61,7.76,-2,-21.1,5.33
"7","159","2009",51.79627,-123.6264,1285,3,12.8,-7.5,20.3,355,146,36.7,87.8,771,816,5462,9,134,175,246,71,166,-40.8,30.4,527,356,12.2,60,-5.96,224,-1.5,9,18.6,7.8,-11.1,-3.3,3.9,-2.7,-6.3,2.8,11.3,2.6,78,64,58,144,6.3,15.4,21,8,501,93,1,177,4,86,582,145,2038,1397,622,1406,0,2,6,2,4,19,79,32,56,25,2,83,0,135,313,80,0,91,255,10,61,57,55,63,8.23,-1.14,-19.61,6.55
"8","358","2009",51.84111,-123.624,1157,3.4,13.5,-7.5,21,339,148,39.6,91.3,747,913,5305,12,137,173,245,72,142,-41.6,31.4,588,397,11.6,57,-11.8,279,-1.1,10.1,19.7,8.6,-11.6,-3,4.2,-2.8,-6.4,3.5,12,2.9,71,61,59,138,5.7,15,20.4,7.4,504,76,0,167,4,105,646,159,2040,1335,556,1373,0,2,8,2,3,21,81,32,52,18,1,70,0,176,328,84,0,115,269,13,57,56,53,60,7.36,-2.58,-21.64,5.05
"9","407","2009",51.85007,-123.6235,1160,3.4,13.5,-7.5,21,338,148,39.7,91,749,910,5310,12,136,174,245,71,141,-41.6,31.4,589,397,11.7,57,-11.97,276,-1.1,10.1,19.7,8.6,-11.6,-3,4.1,-2.8,-6.4,3.5,11.9,2.9,70,61,60,138,5.7,15.1,20.4,7.5,505,76,0,168,4,104,643,159,2042,1335,559,1374,0,2,8,2,3,21,80,32,52,18,1,71,0,176,329,84,0,115,269,13,57,55,53,60,7.24,-2.61,-21.66,5.07
"10","408","2009",51.84978,-123.609,1172,3.4,13.4,-7.5,20.9,339,148,39.5,90.5,747,900,5320,11,136,174,245,71,142,-41.7,31.3,586,395,12,57,-11.54,271,-1.1,10,19.6,8.5,-11.6,-3.1,4.1,-2.8,-6.3,3.5,11.9,2.9,71,61,60,138,6,15.3,20.7,8,502,77,0,168,4,102,636,157,2039,1340,565,1376,0,2,8,2,3,21,80,31,52,18,1,70,0,176,327,83,0,115,267,13,57,55,53,60,7.29,-2.52,-21.43,5.11
"11","454","2009",51.85936,-123.6376,1164,3.4,13.5,-7.6,21,335,147,40,91.6,756,910,5320,12,136,173,245,71,141,-41.6,31.4,588,398,11.8,57,-12.17,277,-1.3,10,19.7,8.5,-11.7,-3,4.2,-2.8,-6.5,3.5,11.9,2.9,70,61,59,136,5.7,15.2,20.3,8,510,76,0,170,4,104,643,159,2048,1337,558,1377,0,2,8,2,3,21,80,32,52,18,1,70,0,176,328,84,0,115,270,13,58,56,53,61,7.24,-2.6,-21.76,4.95
"12","801","2009",51.93135,-123.6482,1108,3.5,13.9,-7.7,21.6,303,141,44.7,98.6,768,969,5265,14,138,172,245,73,121,-42,32,604,423,11.8,57,-17.56,313,-1.5,10.5,20.4,8.7,-12,-2.9,4.4,-2.8,-6.7,3.8,12.4,3,60,54,57,125,6,15,20.3,8,524,71,0,173,4,115,683,167,2065,1311,521,1369,0,2,10,2,3,22,82,32,46,14,1,60,0,180,338,85,0,126,281,16,57,55,52,60,6.09,-3.83,-23.23,3.42
"13","844","2009",51.9421,-123.7351,1112,3.5,13.9,-7.9,21.8,310,143,43.5,96.9,778,963,5286,14,138,172,245,73,126,-42.3,32,602,419,12,57,-16.61,311,-1.5,10.4,20.3,8.7,-12.1,-3,4.4,-2.8,-6.8,3.7,12.3,2.9,60,57,56,128,6,15.3,20.6,8,532,73,0,173,4,113,681,166,2075,1318,523,1370,0,2,10,2,3,22,81,32,46,15,1,63,0,179,337,85,0,123,281,16,57,55,52,60,6.27,-3.48,-23.2,3.8
"14","845","2009",51.94174,-123.7206,1123,3.5,13.8,-7.9,21.7,310,144,43.4,96.3,780,955,5298,14,137,172,245,72,126,-42.2,32,600,417,12,57,-16.37,306,-1.6,10.3,20.3,8.6,-12.1,-3,4.3,-2.8,-6.8,3.7,12.3,2.9,60,57,57,129,6,15.3,20.7,8,531,74,0,174,4,111,676,165,2075,1321,528,1374,0,2,10,2,3,22,81,32,46,16,1,64,0,179,336,85,0,122,280,16,57,55,52,60,6.2,-3.38,-23.08,3.9
"15","846","2009",51.94145,-123.706,1112,3.5,13.9,-7.9,21.8,304,142,44.4,97.6,778,966,5282,14,138,172,245,73,122,-42.2,32.1,603,422,11.9,57,-17.34,312,-1.6,10.4,20.4,8.7,-12.1,-3,4.3,-2.8,-6.8,3.7,12.4,2.9,58,55,57,126,5.9,15.2,20.6,8,531,73,0,174,4,113,683,167,2074,1316,522,1371,0,2,10,2,3,22,81,32,45,15,1,62,0,180,338,85,0,124,281,16,57,55,52,60,6,-3.66,-23.29,3.6
"16","847","2009",51.94125,-123.6914,1108,3.5,13.9,-7.8,21.8,296,139,45.7,100.2,776,970,5274,14,138,172,245,73,118,-42.2,32.1,604,426,11.8,57,-18.34,315,-1.5,10.5,20.4,8.7,-12.1,-3,4.4,-2.8,-6.8,3.8,12.4,2.9,57,53,56,123,5.7,15,20.4,8,530,72,0,174,4,114,685,167,2073,1313,519,1370,0,2,10,2,3,22,82,32,44,14,1,60,0,180,339,85,0,127,283,16,57,55,52,60,5.86,-3.93,-23.45,3.18
"17","851","2009",51.94006,-123.6331,1103,3.6,14,-7.7,21.7,309,143,44,97.8,767,974,5258,14,138,172,245,73,124,-42,32,605,422,11.8,57,-17.23,317,-1.5,10.5,20.4,8.8,-12,-2.9,4.4,-2.8,-6.7,3.8,12.4,3,62,55,58,127,5.7,15.1,20.4,8,523,71,0,173,4,116,687,168,2064,1308,517,1368,0,2,10,2,3,22,82,32,47,14,1,62,0,181,339,86,0,126,281,15,57,55,52,60,6.28,-3.87,-23.22,3.57
"18","852","2009",51.93973,-123.6187,1107,3.6,13.9,-7.8,21.7,314,146,43.1,95.6,768,971,5263,14,138,172,245,73,126,-42.1,32,605,419,12,57,-16.56,315,-1.5,10.5,20.4,8.8,-12,-3,4.4,-2.9,-6.7,3.8,12.4,3,63,55,60,130,5.9,15.3,20.7,8,523,71,0,173,4,115,685,167,2064,1310,519,1369,0,2,10,2,3,22,82,32,48,15,1,63,0,181,338,86,0,126,279,15,57,55,52,60,6.34,-3.8,-23.03,3.93
"19","892","2009",51.951,-123.7346,1121,3.4,13.9,-7.9,21.7,306,143,43.9,97,783,957,5300,14,137,172,245,72,124,-42.3,32,601,420,12,57,-16.84,308,-1.6,10.4,20.3,8.6,-12.2,-3,4.3,-2.9,-6.9,3.7,12.3,2.9,59,56,57,127,6,15.3,20.6,8,534,74,0,175,3,111,678,165,2077,1322,526,1374,0,2,10,2,3,21,81,32,45,15,1,63,0,179,337,85,0,124,280,16,57,55,52,60,6.12,-3.53,-23.19,3.77
"20","893","2009",51.95074,-123.72,1118,3.5,13.9,-7.9,21.8,306,143,44,97,782,960,5294,14,137,172,245,72,124,-42.3,32,602,420,12,57,-16.96,309,-1.6,10.4,20.3,8.7,-12.1,-3,4.3,-2.9,-6.9,3.7,12.3,2.9,59,55,57,127,6,15.3,20.6,8,533,74,0,175,3,112,680,165,2077,1320,524,1373,0,2,10,2,3,22,81,32,45,15,1,63,0,179,337,85,0,124,280,16,57,55,52,60,6.11,-3.63,-23.2,3.75
"21","894","2009",51.95049,-123.7055,1107,3.5,13.9,-7.9,21.8,299,142,45.3,98.4,778,971,5276,14,138,172,245,73,119,-42.3,32.2,605,426,11.9,57,-18.15,316,-1.6,10.5,20.5,8.7,-12.1,-3,4.4,-2.8,-6.8,3.8,12.4,2.9,56,54,56,125,5.9,15.2,20.5,8,532,72,0,174,3,114,687,167,2075,1314,518,1370,0,2,10,2,3,22,81,32,43,14,1,60,0,180,339,85,0,126,283,16,57,55,52,60,5.8,-3.87,-23.51,3.43
"22","895","2009",51.95018,-123.691,1063,3.7,14.2,-7.8,22,287,137,47.7,103.5,766,1010,5213,16,140,171,245,74,110,-42.2,32.4,614,439,11.8,56,-20.7,338,-1.5,10.8,20.8,9,-12.1,-2.8,4.5,-2.8,-6.8,4,12.7,3.1,55,51,55,120,5.7,15,20.3,8,529,67,0,170,4,123,709,174,2071,1290,496,1356,0,2,12,2,3,23,82,32,42,12,1,55,0,184,344,87,0,133,289,17,57,54,51,59,5.59,-4.65,-24.18,2.54
"23","899","2009",51.94899,-123.6327,1095,3.6,14,-7.8,21.8,305,142,44.5,98.7,771,982,5253,15,138,172,245,73,122,-42.2,32.1,608,425,11.8,56,-17.85,322,-1.5,10.6,20.5,8.8,-12.1,-2.9,4.4,-2.8,-6.8,3.8,12.5,3,60,54,58,127,5.6,15,20.3,8,528,70,0,173,4,117,692,169,2070,1305,512,1366,0,2,10,2,3,22,82,32,46,14,1,61,0,182,340,86,0,128,282,16,57,54,52,60,6.12,-4.06,-23.38,3.47
"24","933","2009",51.95828,-123.6469,1076,3.6,14.1,-7.8,22,296,141,46,100.2,770,999,5231,16,139,171,245,73,115,-42.3,32.3,612,433,11.8,56,-19.43,332,-1.5,10.8,20.7,8.9,-12.1,-2.9,4.5,-2.8,-6.8,3.9,12.6,3,58,52,57,123,5.7,15.1,20.4,8.1,530,68,0,172,4,121,703,172,2072,1295,502,1361,0,2,11,2,3,22,82,32,44,13,1,57,0,183,343,86,0,131,285,17,57,54,51,59,5.82,-4.43,-23.81,2.99
"25","974","2009",51.96724,-123.6463,1075,3.6,14.2,-7.9,22,295,141,46.2,100.3,775,1001,5235,16,139,171,245,73,115,-42.4,32.3,613,434,11.7,56,-19.6,333,-1.6,10.8,20.7,8.9,-12.2,-2.9,4.5,-2.9,-6.9,3.9,12.6,3,57,52,58,123,5.6,15,20.3,8,532,69,0,173,4,121,705,172,2076,1296,500,1363,0,2,11,2,3,22,82,32,44,13,1,58,0,183,343,86,0,131,285,17,57,54,51,59,5.76,-4.48,-23.85,2.97
"26","1012","2009",51.97651,-123.6604,1072,3.6,14.2,-7.9,22,289,140,47.1,101.4,777,1004,5235,16,139,171,245,73,112,-42.4,32.5,614,438,11.8,56,-20.4,336,-1.6,10.8,20.8,8.9,-12.2,-2.9,4.5,-2.9,-6.9,3.9,12.6,3,56,49,57,122,5.6,15,20.3,8,534,69,0,174,3,121,708,172,2077,1296,497,1364,0,2,11,2,3,22,82,32,43,12,1,57,0,184,344,87,0,134,287,17,57,54,51,59,5.61,-4.74,-24.09,2.82
"27","1068","2009",51.99413,-123.6449,1082,3.6,14.2,-7.9,22.1,296,143,45.8,98.8,787,998,5256,16,137,172,244,72,117,-42.6,32.5,615,435,11.4,56,-19.7,333,-1.7,10.8,20.8,8.8,-12.3,-3,4.4,-3,-7,3.9,12.6,2.9,57,51,59,124,5.3,15,20.3,7,539,69,0,178,3,120,705,169,2084,1300,499,1373,0,2,11,2,3,22,82,31,44,13,1,59,0,184,345,87,0,133,286,17,57,54,51,59,5.71,-4.57,-23.99,3.14
"28","1069","2009",51.99382,-123.6303,1079,3.6,14.2,-8,22.1,301,144,45.1,98.2,788,999,5256,16,137,172,244,72,119,-42.6,32.5,615,433,11.6,56,-19.22,334,-1.7,10.8,20.8,8.8,-12.4,-3,4.4,-3,-7,3.9,12.6,2.9,58,52,59,126,5.6,15,20.3,7.3,541,70,0,177,3,121,706,169,2086,1299,499,1372,0,2,11,2,3,22,82,31,46,13,1,60,0,184,344,87,0,132,285,16,57,54,51,59,5.88,-4.46,-23.93,3.28
"29","1160","2009",52.0242,-123.8038,1106,3.4,13.9,-8.2,22.2,291,145,45.9,95.9,811,962,5331,14,133,174,243,69,115,-43.3,32.3,610,434,12,55,-19.42,313,-1.6,10.5,20.6,8.8,-12.9,-3.3,4.2,-3.2,-7.2,3.6,12.4,2.8,52,50,57,125,6.2,15,20.6,8,555,76,0,179,3,111,685,164,2104,1327,519,1381,0,2,10,2,2,20,81,30,41,14,1,59,0,181,342,86,0,131,285,18,55,53,51,58,5.33,-4.21,-23.93,3.39
"30","1200","2009",52.03318,-123.8035,1086,3.4,14.1,-8.2,22.3,290,145,46.4,96.8,810,980,5307,15,134,173,243,69,113,-43.4,32.5,614,438,12,55,-20.23,324,-1.6,10.7,20.8,8.9,-12.9,-3.3,4.2,-3.2,-7.2,3.7,12.5,2.9,51,50,58,125,6.1,15,20.7,8,557,74,0,178,3,115,696,167,2105,1317,509,1376,0,2,11,2,2,21,81,30,41,13,1,58,0,183,345,87,0,133,287,18,54,53,50,58,5.23,-4.47,-24.22,3.23
"31","1235","2009",52.04216,-123.8029,1065,3.5,14.2,-8.2,22.4,288,145,46.9,97.6,808,996,5285,16,134,172,243,70,110,-43.4,32.7,619,443,11.9,55,-21.07,333,-1.6,10.8,21,9,-12.9,-3.2,4.3,-3.2,-7.3,3.8,12.6,2.9,51,49,58,124,6,15,20.4,8,557,72,0,178,3,118,705,169,2106,1307,499,1372,0,2,11,2,2,21,81,30,40,12,1,57,0,184,347,87,0,135,290,18,54,53,50,58,5.16,-4.69,-24.54,3
