"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","Year"
"1","814","2010",52.27596,-123.3945,1150,3.6,14.8,-8.6,23.3,425,207,31.9,71.1,911,1180,5265,26,145,154,255,101,123,-43.9,35.5,584,319,-9999,54,-9.57,459,-1,10,21.2,10.4,-12.4,-3.4,6.2,-3,-6.7,3.3,13.7,3.7,69,116,114,91,-9999,15,20.3,7.7,634,117,0,161,2,152,798,227,2199,1351,408,1306,0,3,18,5,1,26,88,29,61,35,1,26,0,147,339,98,0,55,225,40,54,54,55,55,10.03,1.96,-18.36,-3.2,3
"2","1099","2010",52.00309,-123.6444,1089,3.9,14.6,-8.1,22.7,382,185,36.4,79,830,1192,5134,26,146,155,255,100,106,-42.7,35.3,600,364,-9999,54,-15.92,457,-0.7,10.7,21.4,10.9,-11.6,-3,5.8,-2.7,-6.1,3.8,13.6,4.1,61,114,102,76,-9999,14.9,20.2,7,594,100,0,136,3,164,792,234,2150,1305,414,1264,0,4,18,5,2,27,88,30,52,32,1,22,0,153,347,100,0,66,245,53,56,54,53,55,8.61,0.95,-20.28,-5.2,3
"3","1207","2010",52.02818,-123.5554,1049,4.1,14.9,-8.1,23.1,390,187,36.1,79.8,823,1237,5071,29,148,153,255,102,106,-42.7,35.7,609,369,-9999,54,-16.64,490,-0.7,11,21.8,11.1,-11.5,-2.8,6,-2.6,-6.1,4.1,13.9,4.3,63,116,103,80,-9999,14.8,20.4,7.2,594,94,0,136,3,175,817,242,2149,1281,390,1251,0,4,20,5,2,28,88,31,53,30,1,22,0,156,352,101,0,68,249,52,56,54,53,54,8.73,0.57,-20.86,-5.07,3
"4","1209","2010",52.02754,-123.5262,1043,4.2,15,-8,23.1,397,189,35.8,79.4,813,1255,5043,30,150,152,256,104,106,-42.4,35.8,610,365,-9999,54,-16.19,500,-0.6,11,21.9,11.1,-11.4,-2.6,6.1,-2.5,-6,4.2,14,4.3,65,119,103,81,-9999,15,20.4,7.4,587,91,0,134,3,179,828,245,2141,1273,384,1245,0,4,21,5,2,29,88,31,54,30,1,22,0,156,352,101,0,65,249,51,57,54,53,55,8.86,0.75,-20.86,-4.94,3
"5","1247","2010",52.03594,-123.4966,1048,4.2,15,-8.1,23.1,397,190,35.7,79.2,815,1254,5047,30,150,152,256,104,107,-42.5,35.8,609,364,-9999,54,-16.05,499,-0.7,11,21.9,11.1,-11.4,-2.6,6.1,-2.5,-6,4.2,14,4.3,65,117,105,82,-9999,15.2,20.6,8,589,91,0,135,3,179,828,245,2143,1273,385,1247,0,4,21,5,2,29,88,31,54,30,1,22,0,156,352,101,0,66,247,50,57,54,53,55,8.84,0.64,-20.7,-4.83,3
"6","1362","2010",52.0619,-123.4661,976,4.5,15.6,-8,23.5,375,184,38.8,84.5,794,1343,4928,38,155,149,258,109,92,-42.1,36.4,622,388,-9999,54,-20.65,561,-0.7,11.5,22.5,11.4,-11.2,-2.3,6.6,-2.2,-5.9,4.6,14.5,4.6,60,107,103,78,-9999,15,20.3,7.3,582,83,0,129,3,199,880,262,2134,1233,339,1221,0,5,28,6,2,31,89,33,50,23,1,18,0,160,360,103,0,78,257,54,58,54,53,55,8.2,-1.23,-21.87,-5.76,3
"7","1430","2010",52.11433,-123.3897,892,5,16.3,-7.7,24,364,181,41.3,90.1,761,1469,4761,54,162,144,261,117,81,-41.3,37.4,675,424,-9999,55,-24.7,656,-0.7,12.2,23.4,11.8,-10.7,-1.7,7.2,-1.7,-5.7,5.3,15.3,5,58,100,103,75,-9999,14.5,20.1,7.2,567,72,0,123,3,229,951,286,2114,1174,285,1187,0,6,40,8,2,34,90,35,48,17,0,15,0,200,370,105,0,100,268,57,60,54,52,55,7.99,-2.83,-23.36,-6.51,3
"8","1438","2010",52.14345,-123.4903,1066,4,15,-8.1,23.1,393,200,35.7,75.2,846,1241,5108,30,146,155,255,100,101,-43,36.1,612,359,-9999,53,-16.74,495,-0.8,10.8,22,11.1,-11.7,-3.1,5.9,-2.8,-6.2,3.9,14,4.1,60,111,107,84,-9999,15.3,20.3,8,601,103,0,142,3,172,826,241,2158,1302,386,1262,0,4,21,5,2,27,88,30,51,27,1,22,0,156,354,102,0,65,247,47,56,53,52,54,8.62,0.24,-20.93,-4.67,3
"9","1440","2010",52.1412,-123.388,967,4.6,15.9,-7.9,23.8,381,190,38.4,83.7,797,1387,4890,44,157,147,259,112,91,-42,36.9,626,384,-9999,54,-20.71,598,-0.8,11.6,22.8,11.4,-11.1,-2.2,6.9,-2.1,-5.9,4.7,14.9,4.7,60,106,105,81,-9999,15,20.3,7.7,582,84,0,132,3,206,909,269,2133,1221,317,1219,0,5,32,7,2,32,90,33,51,21,1,18,0,161,362,103,0,76,257,51,58,54,53,55,8.35,-1.47,-22.08,-5.5,3
"10","1450","2010",52.15046,-123.402,974,4.6,15.9,-7.9,23.8,381,191,38.2,83.1,803,1373,4911,43,155,148,258,110,91,-42.2,36.8,625,384,-9999,54,-20.6,588,-0.7,11.6,22.7,11.4,-11.2,-2.3,6.8,-2.2,-6,4.6,14.8,4.6,59,105,105,82,-9999,15,20.3,7.9,585,85,0,133,3,202,903,265,2137,1228,322,1224,0,5,31,6,2,31,90,33,50,22,1,19,0,160,362,103,0,76,257,51,58,54,53,55,8.33,-1.47,-22.07,-5.4,3
"11","1460","2010",52.16077,-123.4599,1043,4.2,15.3,-8.1,23.5,385,194,36.8,79.1,837,1288,5042,34,149,152,256,104,98,-42.9,36.4,617,372,-9999,53,-18.58,529,-0.8,11.1,22.3,11.2,-11.6,-2.8,6.3,-2.6,-6.2,4.1,14.3,4.3,60,107,106,82,-9999,15,20,7.3,600,97,0,140,3,182,853,250,2156,1279,357,1250,0,4,25,6,2,28,89,31,51,25,1,20,0,157,357,102,0,71,251,49,56,53,52,54,8.57,-0.55,-21.47,-5.13,3
"12","1460","2010",52.16039,-123.4597,1043,4.2,15.3,-8.1,23.5,385,194,36.8,79.2,837,1288,5042,34,149,152,256,104,97,-42.9,36.4,617,372,-9999,53,-18.6,530,-0.8,11.1,22.3,11.2,-11.6,-2.8,6.3,-2.6,-6.2,4.1,14.3,4.3,60,107,106,82,-9999,15,20,7.3,599,97,0,140,3,182,853,250,2156,1279,357,1250,0,4,25,6,2,28,89,31,51,25,1,20,0,157,357,102,0,71,251,49,56,53,52,54,8.56,-0.55,-21.48,-5.14,3
"13","1460","2010",52.16077,-123.4599,1042,4.2,15.3,-8.1,23.5,385,194,36.8,79.1,837,1289,5041,34,149,152,256,104,97,-42.9,36.4,617,372,-9999,53,-18.59,530,-0.8,11.1,22.3,11.2,-11.6,-2.8,6.3,-2.6,-6.2,4.1,14.3,4.3,60,107,106,82,-9999,15,20,7.3,600,97,0,140,3,182,854,251,2156,1279,357,1250,0,4,25,6,2,28,89,31,51,25,1,20,0,157,357,102,0,71,251,49,56,53,52,54,8.56,-0.56,-21.47,-5.13,3
"14","1460","2010",52.16039,-123.4597,1042,4.2,15.3,-8.1,23.5,385,194,36.8,79.2,836,1289,5041,34,149,152,256,104,97,-42.9,36.4,617,372,-9999,53,-18.61,530,-0.8,11.1,22.3,11.2,-11.6,-2.8,6.3,-2.6,-6.2,4.1,14.3,4.3,60,107,106,82,-9999,15,20,7.3,599,97,0,140,3,182,854,251,2156,1279,357,1250,0,4,25,6,2,28,89,31,51,25,1,20,0,157,357,102,0,71,251,49,56,53,52,54,8.56,-0.56,-21.48,-5.14,3
"15","1461","2010",52.15954,-123.4016,973,4.6,15.9,-7.9,23.8,386,193,37.8,82.4,802,1374,4908,43,155,148,258,110,92,-42.2,36.8,625,379,-9999,54,-20.1,589,-0.7,11.6,22.7,11.4,-11.2,-2.3,6.9,-2.2,-6,4.6,14.8,4.6,60,109,105,82,-9999,15,20,7.1,585,85,0,132,3,202,904,265,2137,1227,321,1223,0,5,32,6,2,31,90,33,51,22,1,18,0,160,361,103,0,72,256,51,58,54,53,55,8.41,-1.09,-22.02,-5.4,3
"16","1461","2010",52.15921,-123.4012,973,4.6,15.9,-7.9,23.8,386,193,37.8,82.4,802,1374,4908,43,155,148,258,110,92,-42.2,36.8,625,379,-9999,54,-20.1,590,-0.7,11.6,22.7,11.4,-11.2,-2.3,6.9,-2.2,-6,4.6,14.8,4.6,60,109,105,82,-9999,15,20,7,585,85,0,132,3,202,904,265,2137,1227,321,1223,0,5,32,6,2,31,90,33,51,22,1,18,0,160,361,103,0,72,256,51,58,54,53,55,8.41,-1.09,-22.01,-5.4,3
