"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","814","2010",52.27596,-123.3945,1150,2.4,13.6,-9.7,23.4,359,202,34.6,67.3,1056,969,5669,14,128,170,240,70,116,-43.8,33.2,563,319,11.7,53,-10.31,322,-2.1,10.1,20.1,8.7,-14.3,-4.1,5,-4,-8.2,3,12.5,2.4,65,54,142,98,3.8,15,20.3,7.7,759,115,0,182,1,118,699,152,2356,1385,504,1424,0,2,10,2,1,19,85,24,61,17,2,36,0,148,328,87,0,105,187,28,51,52,54,56,6.53,-3.59,-13.78,0.53
"2","1099","2010",52.00309,-123.6444,1089,2.8,13.6,-9,22.7,332,178,38.7,76.7,980,1007,5518,15,130,170,241,72,107,-42.5,33.7,584,363,11.4,53,-15.98,338,-1.8,10.5,20.6,9.4,-13.2,-3.9,4.6,-3.5,-7.5,3.3,12.6,2.9,62,54,121,94,3.5,14.9,20.2,7,712,106,0,162,1,128,707,170,2294,1355,496,1373,0,2,10,2,1,20,83,25,56,17,2,32,0,153,340,91,0,111,219,33,53,51,52,56,6.19,-4.23,-17.12,-0.83
"3","1207","2010",52.02818,-123.5554,1049,3,13.9,-9.1,23,336,179,38.8,77.6,969,1049,5455,17,132,168,242,74,106,-42.6,34,593,369,11.5,53,-16.98,366,-1.8,10.8,21,9.6,-13.2,-3.6,4.8,-3.4,-7.5,3.6,12.9,3.1,63,55,123,95,3.6,14.8,20.4,7.2,711,98,0,159,1,139,733,177,2294,1328,471,1362,0,3,12,3,1,21,84,26,57,16,1,32,0,156,345,92,0,114,222,34,53,51,51,56,6.31,-4.7,-17.53,-1.05
"4","1209","2010",52.02754,-123.5262,1043,3.1,14,-8.9,23,340,181,38.5,77.3,958,1063,5425,18,134,167,243,76,107,-42.3,34,593,367,11.6,53,-16.74,374,-1.7,10.9,21.1,9.6,-13.1,-3.5,4.9,-3.3,-7.4,3.7,13,3.1,64,56,124,96,3.9,15,20.4,7.4,704,96,0,157,1,142,740,180,2285,1320,464,1355,0,3,13,3,1,22,85,26,58,15,1,32,0,156,345,92,0,113,221,34,54,52,52,56,6.41,-4.68,-17.43,-1.05
"5","1247","2010",52.03594,-123.4966,1048,3.1,14,-9,23,340,182,38.4,76.9,960,1061,5429,18,134,167,243,76,107,-42.4,34,593,366,12,53,-16.61,373,-1.7,10.9,21,9.6,-13.1,-3.5,4.9,-3.3,-7.4,3.7,13,3.1,64,56,126,95,4.2,15.2,20.6,8,706,95,0,158,1,142,739,179,2288,1319,465,1357,0,3,13,3,1,22,85,26,58,15,1,32,0,156,345,92,0,113,219,33,54,52,52,56,6.4,-4.73,-17.23,-1.04
"6","1362","2010",52.0619,-123.4661,976,3.4,14.5,-8.9,23.5,321,177,41.9,82,936,1141,5306,23,139,164,244,80,93,-42,34.5,605,387,11.6,53,-20.88,425,-1.7,11.4,21.6,9.9,-12.9,-3.1,5.4,-3.1,-7.3,4.1,13.5,3.4,59,51,123,88,3.8,15,20.3,7.3,700,86,0,151,1,161,786,194,2280,1278,419,1329,0,3,16,3,1,24,86,28,53,12,1,27,0,160,352,94,0,121,229,38,55,52,52,56,5.88,-6.07,-18.36,-2.32
"7","1430","2010",52.11433,-123.3897,892,3.9,15.3,-8.7,23.9,309,174,45.2,87.6,901,1260,5129,32,148,159,248,89,83,-41.2,35.3,657,434,11.2,54,-25.22,506,-1.8,12.2,22.4,10.2,-12.5,-2.6,6.1,-2.6,-7.1,4.8,14.3,3.8,56,47,123,83,3.2,14.5,20.1,7.2,686,74,0,141,1,192,853,214,2262,1217,357,1293,0,4,24,4,1,28,88,31,50,9,1,23,0,200,361,95,0,153,238,42,56,51,52,57,5.52,-7.73,-19.64,-3.37
"8","1438","2010",52.14345,-123.4903,1066,2.9,13.9,-9.1,23.1,334,191,38.6,72.9,992,1038,5500,17,129,170,240,70,99,-42.9,34.1,593,359,11.9,53,-17.02,361,-1.9,10.7,21,9.5,-13.4,-3.9,4.8,-3.7,-7.7,3.4,12.9,2.9,58,52,130,95,4.1,15.3,20.3,8,723,105,0,164,1,136,732,169,2307,1343,472,1378,0,3,12,2,1,20,84,24,53,14,2,31,0,156,345,92,0,113,216,30,53,51,51,55,5.77,-4.92,-17.06,-0.81
"9","1440","2010",52.1412,-123.388,967,3.5,14.8,-8.9,23.7,323,183,41.8,80.9,939,1174,5274,25,142,162,245,83,91,-41.9,34.8,607,383,11.7,54,-21.13,450,-1.9,11.6,21.8,9.9,-12.9,-3,5.8,-3,-7.4,4.3,13.8,3.4,58,50,127,89,3.7,15,20.3,7.7,702,85,0,151,1,169,808,196,2283,1267,396,1328,0,4,19,3,1,25,87,28,52,11,1,27,0,161,353,94,0,121,225,37,55,51,52,56,5.76,-6.44,-18.13,-2.31
"10","1450","2010",52.15046,-123.402,974,3.5,14.7,-9,23.7,324,184,41.6,80.2,945,1160,5298,24,140,163,244,81,91,-42.1,34.7,607,382,11.7,53,-20.88,441,-1.8,11.5,21.8,9.8,-13,-3.2,5.7,-3.1,-7.4,4.2,13.7,3.4,57,49,128,90,3.7,15,20.3,7.9,705,87,0,153,1,165,802,192,2287,1275,402,1334,0,3,18,3,1,24,87,28,52,11,1,27,0,161,352,94,0,121,225,36,55,51,52,56,5.69,-6.37,-18.1,-2.11
