"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","1708","2017",52.34206,-123.155,1266,2,13.9,-11.4,25.3,522,234,23.1,59.5,1152,950,5801,15,129,151,231,80,218,-44.6,32.5,561,315,-9999,54,6.78,318,-3.4,8.5,19.9,8.1,-15.9,-4.8,4.9,-3.7,-9.6,1.9,12.4,2.2,131,70,144,163,-9999,15,20.3,7.1,772,255,0,124,1,174,684,91,2354,1488,520,1439,0,4,10,1,1,24,84,20,123,47,2,46,0,161,325,75,0,135,180,0,49,54,54,59,14.47,-3.79,-13.41,9.52
"2","1723","2017",52.35461,-123.3014,1195,2.3,14.2,-11.2,25.4,497,223,24.7,63.7,1137,1000,5721,17,132,149,234,84,204,-44.3,32.9,573,334,-9999,54,2.42,348,-3.5,8.9,20.3,8.4,-15.7,-4.5,5,-3.4,-9.6,2.2,12.7,2.5,121,65,139,156,-9999,15,20.2,7.6,771,249,0,117,1,187,711,101,2354,1461,494,1412,0,5,12,1,1,25,84,22,114,44,2,43,0,164,332,77,0,141,193,0,50,54,54,59,13.62,-4.93,-14.74,8.47
"3","1724","2017",52.35757,-123.2914,1196,2.2,14.2,-11.2,25.4,497,223,24.6,63.7,1138,996,5727,17,132,149,233,83,204,-44.1,32.9,573,333,-9999,54,2.54,346,-3.5,8.8,20.3,8.3,-15.7,-4.6,5,-3.4,-9.6,2.1,12.7,2.5,121,65,139,157,-9999,15,20,7.6,770,250,0,117,1,186,709,100,2353,1464,496,1414,0,5,12,1,1,25,84,22,115,44,2,43,0,164,332,77,0,141,192,0,50,54,54,59,13.62,-4.89,-14.7,8.51
"4","1738","2017",52.38168,-124.242,1177,2.3,14.3,-11,25.3,465,185,26.5,77.1,1120,1009,5687,18,128,152,235,83,209,-44.5,33.4,593,383,-9999,52,-3.7,351,-2.5,8.7,21,9,-15.7,-5.1,4.4,-3.3,-9.1,1.8,12.7,2.8,108,71,110,156,-9999,15,20,8,738,273,0,108,1,182,713,113,2316,1497,492,1381,0,4,12,1,1,23,82,23,101,55,2,51,0,167,346,80,0,147,236,0,47,53,50,58,12.75,-4.37,-19.72,7.65
"5","1739","2017",52.38141,-124.2274,1231,2.2,14,-11.1,25.1,462,186,26.4,75.5,1130,965,5752,15,126,153,235,82,208,-44.4,33.1,582,374,-9999,52,-2.44,325,-2.4,8.3,20.6,8.7,-15.7,-5.3,4.2,-3.4,-9,1.5,12.4,2.6,108,70,111,155,-9999,15,20,8,735,279,0,115,1,171,687,107,2313,1521,518,1401,0,4,11,1,1,22,81,22,100,54,2,52,0,163,340,79,0,144,230,0,46,53,51,58,12.64,-3.98,-18.99,7.89
"6","1754","2017",52.36101,-123.3432,1169,2.3,14.3,-11.2,25.5,493,222,25,64.5,1136,1021,5687,18,134,148,234,86,201,-44.2,33.1,579,340,-9999,54,1.22,359,-3.6,9,20.5,8.5,-15.7,-4.4,5,-3.3,-9.6,2.3,12.8,2.6,119,65,138,156,-9999,15,20.3,7,772,246,0,118,1,194,720,105,2355,1442,485,1405,0,5,12,1,1,26,84,22,113,44,2,43,0,166,335,78,0,143,197,0,50,54,53,59,13.41,-5.15,-15.28,8.25
"7","1757","2017",52.36322,-123.2862,1248,2,13.8,-11.3,25.2,497,222,24.2,62.2,1154,948,5803,15,129,151,232,81,207,-44.5,32.5,563,325,-9999,54,3.98,316,-3.5,8.5,19.9,8.1,-15.9,-4.8,4.7,-3.6,-9.7,1.9,12.3,2.3,121,65,139,156,-9999,15,20,7.5,776,255,0,122,1,174,680,93,2359,1487,524,1433,0,4,10,1,1,24,83,21,115,45,2,45,0,161,326,76,0,138,187,0,49,54,54,59,13.62,-4.34,-14.1,8.8
"8","1759","2017",52.3637,-123.2614,1262,2,13.8,-11.4,25.2,498,222,24.1,62.1,1157,942,5815,14,128,152,231,79,208,-44.6,32.5,560,323,-9999,54,4.51,313,-3.4,8.5,19.8,8.1,-16,-4.8,4.8,-3.7,-9.7,1.8,12.3,2.2,122,66,139,156,-9999,15,20.3,8,776,257,0,123,1,172,678,91,2359,1493,525,1438,0,4,10,1,1,24,84,20,115,46,2,46,0,160,325,75,0,137,185,0,49,54,54,59,13.67,-4.13,-13.89,8.87
"9","1760","2017",52.36141,-123.2127,1173,2.4,14.4,-11.2,25.6,506,224,24.4,64.5,1125,1026,5672,19,134,149,233,84,210,-43.9,33.1,577,336,-9999,55,2.86,366,-3.5,9,20.5,8.4,-15.6,-4.5,5.3,-3.3,-9.5,2.3,12.9,2.6,127,68,139,158,-9999,15,20.3,7.3,764,247,0,114,1,192,730,102,2346,1445,475,1406,0,5,13,1,1,25,85,22,120,46,2,42,0,166,334,78,0,142,195,0,51,54,54,59,14.16,-4.82,-14.98,8.5
"10","1761","2017",52.36008,-123.1539,1277,2,13.9,-11.3,25.2,521,232,23,59.9,1154,942,5815,15,128,152,231,79,220,-44.6,32.4,558,313,-9999,54,7.14,315,-3.4,8.4,19.8,8,-15.9,-4.9,4.9,-3.7,-9.6,1.8,12.3,2.2,130,71,144,162,-9999,15,20.3,7.2,772,259,0,123,1,170,681,90,2354,1497,523,1441,0,4,10,1,1,23,84,20,123,49,3,46,0,160,323,75,0,134,179,0,49,54,55,59,14.47,-3.52,-13.28,9.48
"11","1770","2017",52.39079,-124.2564,1175,2.3,14.3,-11,25.4,468,185,26.4,77.6,1124,1012,5689,18,128,152,235,83,211,-44.5,33.5,593,384,-9999,52,-3.49,353,-2.5,8.6,21,9,-15.7,-5.1,4.4,-3.3,-9.1,1.7,12.7,2.9,111,72,110,156,-9999,15,20,7.4,740,276,0,108,1,182,715,114,2318,1501,491,1380,0,4,12,1,1,23,82,23,103,55,2,51,0,167,346,80,0,147,236,0,47,53,50,58,13.02,-4.32,-19.8,7.61
"12","1771","2017",52.39058,-124.2417,1234,2.1,14,-11.2,25.2,466,185,26,75.6,1135,963,5762,15,125,153,234,81,212,-44.5,33.1,582,374,-9999,52,-1.95,323,-2.5,8.3,20.6,8.7,-15.7,-5.3,4.2,-3.5,-9.1,1.5,12.4,2.6,109,72,110,156,-9999,15,20,8,738,282,0,114,1,170,685,106,2316,1526,519,1401,0,4,10,1,1,22,81,22,101,56,2,53,0,163,340,79,0,144,230,0,47,53,51,58,12.8,-3.73,-19.05,8.02
"13","1772","2017",52.39014,-124.2123,1113,2.6,14.7,-10.9,25.6,460,185,27.3,79.4,1116,1066,5604,21,132,151,237,86,202,-44.5,33.9,604,393,-9999,52,-6.02,386,-2.7,9.1,21.5,9.3,-15.8,-4.9,4.7,-3.1,-9.2,2.1,13.1,3.1,107,70,110,154,-9999,15,20,7.6,749,264,0,102,1,196,746,124,2329,1461,459,1356,0,5,15,1,1,24,83,24,101,53,1,47,0,170,352,82,0,151,242,0,47,53,50,58,12.59,-5.13,-20.47,6.99
"14","1789","2017",52.37378,-123.3409,1245,2,13.8,-11.2,25.1,494,222,24.4,62.5,1153,956,5794,15,129,150,232,82,205,-44.6,32.6,564,327,-9999,54,3.49,320,-3.4,8.6,20,8.2,-16,-4.8,4.8,-3.6,-9.7,1.9,12.4,2.3,119,65,138,156,-9999,15.3,20.3,7.8,774,254,0,124,1,177,684,94,2357,1483,520,1434,0,4,10,1,1,24,84,21,113,45,2,46,0,162,327,76,0,139,189,0,49,54,54,59,13.44,-4.42,-14.29,8.77
"15","1791","2017",52.37283,-123.3151,1249,2,13.8,-11.3,25.1,497,223,24.2,61.8,1152,948,5800,15,129,151,232,82,207,-44.6,32.5,563,325,-9999,54,3.95,315,-3.4,8.6,19.9,8.2,-15.9,-4.8,4.7,-3.6,-9.7,1.9,12.3,2.3,121,65,140,156,-9999,15.2,20.3,7.5,774,255,0,123,1,175,678,94,2356,1486,525,1433,0,4,10,1,1,24,83,21,114,45,2,46,0,161,326,76,0,138,186,0,49,54,54,59,13.61,-4.38,-14.05,8.78
"16","1792","2017",52.37043,-123.2121,1201,2.3,14.3,-11.3,25.6,507,224,24.2,63.8,1136,1004,5718,18,133,149,232,83,212,-44,32.9,571,330,-9999,55,3.76,353,-3.5,8.8,20.3,8.3,-15.7,-4.6,5.2,-3.4,-9.6,2.1,12.7,2.5,128,68,140,158,-9999,15,20.2,7.2,768,251,0,116,1,187,717,99,2350,1464,488,1416,0,5,12,1,1,25,85,22,121,46,2,43,0,164,330,77,0,140,190,0,50,54,54,59,14.22,-4.61,-14.5,8.65
"17","1793","2017",52.37005,-123.1974,1236,2.1,14.1,-11.3,25.4,510,227,23.7,62.1,1149,971,5773,16,130,151,231,81,214,-44.3,32.7,565,323,-9999,55,4.98,332,-3.5,8.6,20,8.2,-15.8,-4.7,5,-3.5,-9.6,1.9,12.5,2.3,128,68,142,158,-9999,15,20.3,7.5,772,256,0,121,1,179,697,94,2355,1482,507,1430,0,4,11,1,1,24,84,21,121,46,2,44,0,162,327,76,0,138,185,0,50,54,54,59,14.24,-4.22,-13.94,8.9
"18","1794","2017",52.36972,-123.1827,1275,2,13.9,-11.3,25.2,514,229,23.3,60.5,1152,941,5814,15,128,152,231,79,216,-44.5,32.5,558,316,-9999,54,6.33,314,-3.3,8.4,19.8,8.1,-15.9,-4.9,4.9,-3.7,-9.6,1.8,12.3,2.2,129,68,142,160,-9999,15,20.3,7.2,769,259,0,123,1,170,680,90,2351,1498,524,1441,0,4,10,1,1,23,84,20,122,47,3,46,0,160,323,75,0,135,181,0,49,54,55,59,14.35,-3.82,-13.47,9.26
"19","1795","2017",52.36932,-123.1679,1272,2,13.8,-11.3,25.2,516,229,23.3,60.5,1152,941,5813,14,128,152,231,79,217,-44.6,32.4,558,316,-9999,54,6.49,313,-3.3,8.4,19.8,8.1,-15.9,-4.9,4.9,-3.7,-9.6,1.8,12.3,2.2,130,68,143,161,-9999,15.1,20.3,7.5,770,259,0,123,1,171,679,90,2352,1496,525,1439,0,4,10,1,1,23,84,20,122,47,3,46,0,160,323,75,0,135,181,0,49,54,55,59,14.44,-3.82,-13.44,9.32
"20","1796","2017",52.36897,-123.1533,1250,2.1,14,-11.3,25.3,520,230,23.2,60.7,1153,960,5791,15,130,151,231,80,219,-44.6,32.6,562,317,-9999,54,6.38,325,-3.5,8.5,19.9,8.1,-15.9,-4.8,5,-3.6,-9.7,1.9,12.5,2.3,130,71,144,161,-9999,15.1,20.3,7.3,773,257,0,122,1,176,691,92,2356,1488,514,1434,0,4,10,1,1,24,84,21,123,49,2,46,0,161,325,76,0,136,182,0,50,54,55,59,14.46,-3.79,-13.52,9.23
"21","1798","2017",52.36832,-123.1239,1226,2.2,14.2,-11.3,25.5,524,233,23.2,60.9,1146,986,5752,17,131,151,231,81,219,-44.3,32.8,566,320,-9999,55,6.14,342,-3.5,8.7,20.1,8.2,-15.8,-4.7,5.2,-3.5,-9.6,2,12.6,2.3,132,71,145,162,-9999,15.3,20.3,7.3,770,254,0,122,1,182,708,95,2352,1475,497,1428,0,4,12,1,1,24,85,21,125,48,2,45,0,163,327,76,0,137,183,0,50,54,55,59,14.62,-4.05,-13.68,9.25
"22","1805","2017",52.40012,-124.2854,1145,2.4,14.5,-10.9,25.5,474,185,26.2,78.5,1121,1038,5653,19,130,152,236,85,215,-44.4,33.6,599,387,-9999,52,-3.71,369,-2.6,8.8,21.3,9.2,-15.7,-5,4.5,-3.2,-9.1,1.9,12.9,3,113,74,111,157,-9999,15,20,7.3,745,271,0,106,1,188,730,119,2324,1485,475,1369,0,5,14,1,1,24,82,23,106,57,2,51,0,168,349,81,0,149,239,0,48,53,50,58,13.27,-4.44,-20.08,7.54
"23","1807","2017",51.80052,-123.4083,1188,3,14,-8.6,22.6,531,208,24.4,67.4,932,997,5470,16,137,148,238,90,231,-42,32,578,350,-9999,56,5.05,333,-2.4,9.5,20.1,9.1,-13.1,-3.5,4.6,-2.7,-7.7,3,12.4,3.2,139,76,123,175,-9999,15.3,20.7,8,648,191,0,92,2,193,684,119,2218,1383,520,1348,0,5,10,1,2,27,83,26,125,52,2,52,0,165,333,80,0,140,210,0,56,55,53,60,15.7,-3.93,-16.19,9.48
"24","1816","2017",52.39723,-124.0942,1206,2.2,14.2,-11.3,25.5,457,190,26.7,74.6,1147,988,5743,17,127,153,234,82,199,-44.7,33.3,587,375,-9999,52,-3.62,340,-2.8,8.5,20.8,8.8,-16,-5.2,4.3,-3.4,-9.4,1.7,12.6,2.7,104,67,113,155,-9999,15,20.2,8,758,276,0,112,1,177,702,109,2339,1508,503,1394,0,4,11,1,1,23,81,22,98,50,2,50,0,165,343,79,0,145,229,0,47,53,51,58,12.2,-4.6,-19.01,7.79
"25","1825","2017",52.38396,-123.3824,1188,2.2,14.2,-11.2,25.4,486,218,25.2,65.3,1142,1003,5716,17,132,148,234,86,200,-44,33,577,340,-9999,54,0.91,350,-3.5,8.9,20.4,8.4,-15.8,-4.6,4.9,-3.4,-9.7,2.2,12.7,2.5,117,64,137,153,-9999,15.3,20.3,8,772,251,0,119,1,189,711,102,2355,1454,494,1413,0,5,12,1,1,25,84,22,111,44,2,43,0,165,334,77,0,143,198,0,50,54,53,59,13.21,-5.05,-15.34,8.08
"26","1831","2017",52.37901,-123.1969,1216,2.2,14.2,-11.3,25.5,509,225,24,63,1143,988,5745,17,132,150,231,82,213,-44.1,32.8,568,326,-9999,55,4.4,342,-3.5,8.7,20.1,8.2,-15.8,-4.6,5.1,-3.5,-9.6,2,12.6,2.4,128,68,141,157,-9999,15,20.3,7.7,771,254,0,118,1,184,707,96,2353,1472,498,1422,0,4,11,1,1,25,85,21,121,46,2,44,0,163,328,77,0,139,187,0,50,54,54,59,14.24,-4.45,-14.1,8.71
"27","1833","2017",52.37822,-123.1674,1288,1.9,13.7,-11.4,25,516,229,23.1,59.7,1154,917,5841,13,127,152,230,78,218,-44.6,32.2,555,313,-9999,54,7.03,297,-3.3,8.3,19.5,8.1,-16,-4.9,4.7,-3.7,-9.6,1.7,12.1,2.2,130,68,142,160,-9999,15.3,20.4,8,769,261,0,123,1,167,660,88,2351,1504,543,1444,0,4,9,1,1,23,83,20,122,47,3,47,0,159,321,75,0,134,178,0,49,54,55,59,14.45,-3.67,-13.12,9.37
"28","1835","2017",52.37683,-123.1085,1244,2.1,14.1,-11.4,25.4,527,232,22.9,60.5,1156,967,5786,16,130,151,231,80,224,-44.4,32.6,563,317,-9999,55,7.04,330,-3.5,8.6,20,8,-15.8,-4.7,5.1,-3.5,-9.7,1.9,12.5,2.2,135,71,145,163,-9999,15.3,20.3,7.7,773,256,0,126,1,177,696,93,2356,1485,508,1437,0,4,11,1,1,24,84,21,127,48,2,46,0,161,325,76,0,136,181,0,50,54,55,60,14.88,-3.84,-13.46,9.46
"29","1836","2017",52.37653,-123.0939,1241,2.1,14.1,-11.4,25.5,529,233,22.8,60.4,1158,967,5790,16,130,151,231,80,224,-44.4,32.6,562,316,-9999,55,7.26,330,-3.6,8.6,19.9,7.9,-15.8,-4.7,5.1,-3.6,-9.7,1.9,12.5,2.2,136,71,145,163,-9999,15.3,20.3,7.7,774,256,0,127,1,178,695,93,2356,1483,510,1440,0,4,11,1,1,24,84,21,128,48,2,46,0,162,325,76,0,136,180,0,50,54,55,60,14.97,-3.9,-13.31,9.51
"30","1840","2017",52.40944,-124.2998,1182,2.3,14.3,-11,25.4,493,186,25,76.9,1129,1007,5701,18,128,152,236,83,230,-44.5,33.4,591,379,-9999,52,-0.72,351,-2.5,8.5,21,8.9,-15.6,-5.2,4.4,-3.3,-9.1,1.7,12.7,2.8,121,77,112,162,-9999,15,20,7.6,740,277,0,111,1,180,713,113,2318,1506,492,1385,0,4,12,1,1,23,82,23,113,60,2,56,0,166,345,80,0,146,233,0,47,53,50,58,14.22,-3.76,-19.48,8.29
