"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","141","2017",51.7734,-123.0033,1195,3,16.5,-13.7,30.2,576,261,22.5,63.2,1156,1266,5504,41,142,169,259,90,225,-41.6,39.3,622,285,-9999,53,3.17,519,-2.3,8.4,21.9,11.1,-13.5,-4,6.4,-3.4,-7.9,2.2,14.2,3.8,161,89,211,111,-9999,16,21.3,8.7,805,116,0,235,9,97,850,310,2380,1454,380,1289,0,1,32,7,1,18,87,36,145,44,2,33,0,161,351,110,0,72,140,73,55,57,54,52,16.16,2.27,-10.7,-4.55
"2","161","2017",51.78849,-123.2783,1198,2.8,16,-13.7,29.7,574,268,22.3,59.8,1150,1208,5548,34,137,173,256,83,222,-42.1,38.9,622,281,-9999,52,3.21,478,-1.9,8.3,21.7,11,-13.5,-4.2,5.8,-3.6,-7.7,2.1,13.8,3.7,162,86,219,110,-9999,15.8,21,8,797,118,0,235,9,91,809,298,2369,1467,411,1301,0,1,26,7,1,16,85,34,145,43,2,32,0,161,351,110,0,75,133,74,53,56,53,51,15.63,2.05,-9.87,-4.61
"3","162","2017",51.78811,-123.2636,1199,2.8,16,-13.7,29.7,577,267,22.2,59.9,1152,1208,5550,34,137,173,256,83,225,-42.1,38.9,622,282,-9999,52,3.49,478,-2,8.3,21.7,11,-13.5,-4.2,5.8,-3.7,-7.7,2,13.8,3.7,164,86,218,111,-9999,15.8,21,8,797,119,0,235,9,91,810,298,2370,1468,410,1302,0,1,26,6,1,16,85,34,147,43,2,32,0,160,351,110,0,75,133,74,54,56,53,51,15.85,2.06,-9.92,-4.49
"4","163","2017",51.78642,-123.1912,1144,3.1,16.4,-13.6,30,557,266,23.5,61.7,1131,1274,5461,41,140,171,257,85,205,-41.7,39.5,634,298,-9999,52,-0.32,519,-1.9,8.8,22.2,11.3,-13.4,-3.9,6.2,-3.6,-7.7,2.4,14.2,3.9,150,83,217,107,-9999,15.4,21,7.8,791,106,0,234,9,102,852,311,2363,1433,378,1287,0,1,32,7,1,18,86,35,135,38,2,30,0,164,358,112,0,81,141,77,54,56,52,51,14.6,1.29,-10.87,-5.34
"5","165","2017",51.78158,-123.0028,1166,3,16.6,-13.7,30.3,576,261,22.7,63.7,1156,1292,5476,44,143,168,259,91,223,-41.4,39.5,627,290,-9999,53,2.47,537,-2.4,8.6,22.1,11.1,-13.4,-3.9,6.6,-3.3,-7.9,2.3,14.3,3.9,162,89,211,111,-9999,16,21.3,8.7,806,112,0,237,9,102,866,316,2381,1443,367,1285,0,1,35,8,1,18,87,37,145,43,2,33,0,162,354,110,0,73,143,74,56,57,53,52,16.16,2.1,-11.07,-4.71
"6","193","2017",51.80051,-123.4083,1188,2.8,16,-13.8,29.7,555,270,23,59.2,1153,1204,5556,33,137,173,255,82,212,-42,38.9,621,282,-9999,53,1.6,475,-2.1,8.4,21.6,11,-13.5,-4.3,5.8,-3.6,-7.8,2,13.7,3.7,154,83,220,104,-9999,15.3,20.7,8,799,120,0,234,9,91,806,298,2371,1471,414,1300,0,1,25,6,1,16,85,34,138,41,3,30,0,161,350,110,0,78,129,74,54,56,53,52,14.47,1.79,-9.47,-5.19
"7","193","2017",51.80047,-123.4083,1188,2.8,16,-13.8,29.7,555,270,23,59.2,1153,1204,5556,33,137,173,255,82,212,-42,38.9,621,282,-9999,53,1.6,475,-2.1,8.4,21.6,11,-13.5,-4.3,5.8,-3.6,-7.8,2,13.7,3.7,154,83,220,104,-9999,15.3,20.7,8,799,120,0,234,9,91,806,298,2371,1471,414,1300,0,1,25,6,1,16,85,34,138,41,3,30,0,161,350,110,0,78,130,74,54,56,53,52,14.48,1.79,-9.47,-5.19
"8","193","2017",51.80051,-123.4083,1188,2.8,16,-13.8,29.7,555,270,23,59.2,1153,1204,5556,33,137,173,255,82,212,-42,38.9,621,282,-9999,53,1.6,475,-2.1,8.4,21.6,11,-13.5,-4.3,5.8,-3.6,-7.8,2,13.7,3.7,154,83,220,104,-9999,15.3,20.7,8,799,120,0,234,9,91,806,298,2371,1471,414,1300,0,1,25,6,1,16,85,34,138,41,3,30,0,161,350,110,0,78,129,74,54,56,53,52,14.47,1.79,-9.47,-5.19
"9","193","2017",51.80047,-123.4083,1188,2.8,16,-13.8,29.7,555,270,23,59.2,1153,1204,5556,33,137,173,255,82,212,-42,38.9,621,282,-9999,53,1.6,475,-2.1,8.4,21.6,11,-13.5,-4.3,5.8,-3.6,-7.8,2,13.7,3.7,154,83,220,104,-9999,15.3,20.7,8,799,120,0,234,9,91,806,298,2371,1471,414,1300,0,1,25,6,1,16,85,34,138,41,3,30,0,161,350,110,0,78,130,74,54,56,53,52,14.48,1.79,-9.47,-5.19
"10","194","2017",51.79712,-123.2632,1158,3,16.2,-13.7,29.9,569,267,22.8,60.7,1141,1247,5500,37,138,172,255,83,216,-41.9,39.3,630,292,-9999,52,1.52,500,-2,8.6,22,11.2,-13.5,-4.1,6,-3.6,-7.7,2.3,14,3.8,160,85,218,109,-9999,15.7,21,8,797,111,0,233,9,98,835,305,2370,1446,392,1292,0,1,29,7,1,17,86,34,143,40,2,31,0,163,356,111,0,78,138,76,54,56,52,51,15.41,1.65,-10.55,-5
