"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","141","2017",51.7734,-123.0033,1195,3,13.5,-8.4,21.9,408,192,31.9,70.4,912,985,5457,14,136,166,246,80,144,-41.5,32.9,563,324,12.7,55,-5.77,322,-1.2,10,19.9,9.3,-12.4,-3.5,5,-3,-6.8,3.3,12.4,3.1,90,67,132,118,4.7,16,21.3,8.7,662,104,0,146,1,123,689,171,2232,1359,512,1353,0,2,10,2,1,22,85,28,79,23,2,40,0,148,326,89,0,99,194,30,55,54,55,58,8.92,-2.4,-14.28,1.99
"2","161","2017",51.78849,-123.2783,1198,2.8,13,-8.5,21.5,406,190,31.5,68.5,923,922,5539,12,129,171,243,72,149,-41.9,32.6,562,327,12.3,54,-5.37,281,-1,9.9,19.6,9.2,-12.6,-3.8,4.3,-3.4,-6.8,3,12,2.9,91,65,132,117,4.2,15.8,21,8,662,107,0,154,1,113,648,159,2233,1379,549,1378,0,2,8,2,1,20,82,26,80,24,2,42,0,146,326,89,0,101,194,32,53,53,53,57,9.06,-2.32,-14.22,2.11
"3","162","2017",51.78811,-123.2636,1199,2.8,13,-8.5,21.5,407,190,31.4,68.6,924,923,5540,12,129,171,243,72,150,-41.9,32.6,562,327,12.3,54,-5.22,282,-1.1,9.9,19.6,9.2,-12.6,-3.8,4.4,-3.4,-6.8,3,12,2.9,92,65,132,118,4.3,15.8,21,8,662,107,0,154,1,113,649,159,2233,1380,548,1378,0,2,8,2,1,20,82,26,81,24,2,43,0,146,326,89,0,101,194,32,54,53,53,57,9.14,-2.32,-14.23,2.18
"4","163","2017",51.78642,-123.1912,1144,3.1,13.5,-8.4,21.8,394,191,33.1,70.4,900,985,5438,14,133,169,244,75,135,-41.6,33,573,337,12,54,-8.47,321,-1,10.3,20.1,9.5,-12.4,-3.5,4.7,-3.3,-6.7,3.4,12.4,3.1,84,63,133,114,3.9,15.4,21,7.8,654,97,0,150,2,126,688,169,2223,1343,513,1359,0,2,9,2,1,21,84,26,73,20,2,39,0,150,333,91,0,105,200,33,54,53,53,56,8.28,-3.17,-14.91,1.34
"5","165","2017",51.78158,-123.0028,1166,3.1,13.7,-8.4,22,408,192,32.1,71.2,912,1011,5427,15,138,165,247,81,143,-41.3,33.1,568,328,12.7,56,-6.46,339,-1.4,10.2,20.1,9.3,-12.3,-3.4,5.1,-2.9,-6.8,3.4,12.6,3.2,90,67,132,119,4.7,16,21.3,8.7,662,102,0,147,1,130,705,175,2233,1347,498,1349,0,2,10,3,1,23,85,29,79,22,2,40,0,149,329,89,0,101,197,31,56,54,55,58,8.93,-2.65,-14.6,1.86
"6","193","2017",51.80051,-123.4083,1188,2.7,13,-8.7,21.7,395,189,32.2,68.9,938,918,5567,12,128,171,242,71,143,-41.8,32.6,561,327,11.9,54,-6.19,279,-1.3,9.8,19.6,9.1,-12.6,-3.9,4.3,-3.4,-6.9,3,12,2.8,87,63,131,114,3.7,15.3,20.7,8,670,111,0,156,1,112,645,159,2243,1386,557,1381,0,2,7,2,1,20,82,26,77,23,2,41,0,146,326,89,0,101,195,32,54,53,53,57,8.69,-2.41,-14.24,1.78
"7","193","2017",51.80047,-123.4083,1188,2.7,13,-8.7,21.7,395,189,32.2,68.9,938,918,5567,12,128,171,242,71,143,-41.8,32.6,561,327,11.9,54,-6.19,279,-1.3,9.8,19.6,9.1,-12.6,-3.9,4.3,-3.4,-6.9,3,12,2.8,87,63,131,114,3.7,15.3,20.7,8,670,111,0,156,1,112,645,159,2243,1386,557,1381,0,2,7,2,1,20,82,26,77,23,2,41,0,146,326,89,0,101,195,32,54,53,53,57,8.69,-2.41,-14.24,1.78
"8","193","2017",51.80051,-123.4083,1188,2.7,13,-8.7,21.7,395,189,32.2,68.9,938,918,5567,12,128,171,242,71,143,-41.8,32.6,561,327,11.9,54,-6.19,279,-1.3,9.8,19.6,9.1,-12.6,-3.9,4.3,-3.4,-6.9,3,12,2.8,87,63,131,114,3.7,15.3,20.7,8,670,111,0,156,1,112,645,159,2243,1386,557,1381,0,2,7,2,1,20,82,26,77,23,2,41,0,146,326,89,0,101,195,32,54,53,53,57,8.69,-2.41,-14.24,1.78
"9","193","2017",51.80047,-123.4083,1188,2.7,13,-8.7,21.7,395,189,32.2,68.9,938,918,5567,12,128,171,242,71,143,-41.8,32.6,561,327,11.9,54,-6.19,279,-1.3,9.8,19.6,9.1,-12.6,-3.9,4.3,-3.4,-6.9,3,12,2.8,87,63,131,114,3.7,15.3,20.7,8,670,111,0,156,1,112,645,159,2243,1386,557,1381,0,2,7,2,1,20,82,26,77,23,2,41,0,146,326,89,0,101,195,32,54,53,53,57,8.69,-2.41,-14.24,1.78
"10","194","2017",51.79712,-123.2632,1158,2.9,13.3,-8.5,21.8,402,190,32.1,69.9,915,958,5487,13,131,170,242,73,144,-41.8,32.9,570,335,12.3,54,-6.95,303,-1.1,10.2,20,9.3,-12.5,-3.6,4.5,-3.3,-6.8,3.3,12.2,3,90,64,132,116,4.3,15.7,21,8,662,101,0,151,1,121,671,164,2233,1357,529,1367,0,2,9,2,1,21,83,26,79,22,2,41,0,149,331,90,0,104,199,32,54,53,53,56,8.9,-2.8,-14.77,1.72
"11","197","2017",51.79058,-123.002,1172,3.1,13.7,-8.4,22,409,193,31.9,70.8,917,1008,5437,15,138,165,247,81,143,-41.1,33.1,568,327,12.7,56,-6.29,337,-1.5,10.1,20.1,9.2,-12.2,-3.4,5.1,-2.9,-6.8,3.4,12.6,3.2,89,67,133,119,4.7,16,21.3,8.7,664,104,0,149,1,129,703,174,2235,1350,499,1353,0,2,10,3,1,23,85,29,79,22,2,40,0,149,329,89,0,101,196,31,56,54,54,58,8.88,-2.62,-14.55,1.99
"12","227","2017",51.81046,-123.4512,1188,2.7,13,-8.6,21.6,396,190,32.1,68.2,934,915,5565,12,129,171,242,71,143,-41.6,32.5,559,323,12.1,55,-5.85,277,-1.3,9.8,19.5,9.1,-12.5,-3.9,4.3,-3.3,-6.9,2.9,11.9,2.9,86,66,132,114,4,15.3,21,8,667,111,0,156,1,111,643,160,2238,1389,560,1379,0,2,7,2,1,19,82,26,76,24,2,41,0,146,325,89,0,99,193,32,55,53,54,57,8.53,-2.1,-14.04,1.77
"13","229","2017",51.80679,-123.2916,1150,2.9,13.3,-8.6,21.9,398,190,32.4,69.9,918,960,5488,13,130,170,242,72,141,-41.8,32.9,571,335,12.3,54,-7.48,305,-1.1,10.2,20,9.3,-12.6,-3.6,4.5,-3.3,-6.9,3.3,12.3,3,87,64,132,115,4.4,16,21,8,665,101,0,152,1,121,673,165,2237,1357,527,1367,0,2,9,2,1,21,83,26,77,22,2,40,0,149,331,90,0,104,199,33,54,53,53,56,8.65,-2.85,-14.82,1.53
"14","231","2017",51.80502,-123.219,1148,3,13.4,-8.3,21.8,393,190,33.1,70.8,904,979,5450,14,132,169,243,74,136,-41.4,33,573,338,12.3,54,-8.39,317,-1.1,10.3,20.1,9.4,-12.3,-3.5,4.6,-3.3,-6.7,3.4,12.4,3.1,84,63,132,114,4.3,15.7,21,8,654,99,0,150,2,125,684,168,2223,1348,517,1362,0,2,9,2,1,21,83,26,74,20,2,40,0,150,333,90,0,105,200,33,55,53,53,57,8.36,-3.13,-15.01,1.38
"15","232","2017",51.80466,-123.2046,1157,3,13.4,-8.3,21.7,390,189,33.3,70.8,908,975,5460,14,132,169,243,74,135,-41.4,33,571,337,12.2,54,-8.49,315,-1.1,10.2,20.1,9.3,-12.3,-3.5,4.6,-3.3,-6.7,3.3,12.4,3,83,62,132,113,4.3,15.5,21,8,655,100,0,152,2,124,682,167,2225,1352,519,1365,0,2,9,2,1,21,83,26,73,20,2,40,0,149,332,90,0,105,199,32,55,53,53,57,8.2,-3.16,-14.9,1.36
"16","234","2017",51.80359,-123.161,1107,3.2,13.8,-8.3,22,384,189,34.4,73,891,1031,5375,16,136,166,244,78,127,-41.2,33.4,581,346,12,54,-10.61,350,-1.1,10.6,20.5,9.6,-12.2,-3.3,5,-3.1,-6.7,3.6,12.7,3.2,80,62,131,111,3.8,15.3,21,8,650,94,0,147,2,136,717,177,2218,1324,487,1346,0,3,11,3,1,23,85,27,70,18,2,37,0,152,337,91,0,108,205,33,55,53,53,57,7.88,-3.69,-15.57,0.77
