"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","988","2017",51.95378,-123.0638,1065,3.7,14.7,-8,22.6,364,189,37.6,77.7,877,1151,5220,24,142,164,247,83,108,-40,34.7,606,369,12.1,55,-17.25,431,-1.6,11.4,21.6,9.9,-11.7,-2.9,5.5,-2.8,-6.6,4.2,13.5,3.5,71,60,132,100,4.2,15.6,20.8,8,647,84,0,146,2,162,787,199,2215,1271,416,1318,0,3,17,3,1,25,86,29,62,14,1,31,0,160,352,94,0,114,219,36,58,52,52,57,7.05,-5.26,-17.7,-1.33
"2","1022","2017",51.96311,-123.0777,1059,3.7,14.7,-8,22.7,364,189,37.6,77.5,878,1155,5217,24,142,164,247,84,108,-40,34.8,606,368,12.4,55,-17.29,433,-1.6,11.4,21.6,9.9,-11.7,-2.9,5.5,-2.8,-6.6,4.2,13.6,3.6,71,61,133,100,4.5,15.9,21.1,8.1,649,84,0,145,2,164,790,200,2217,1270,414,1317,0,3,17,3,1,25,86,29,62,14,1,30,0,160,352,94,0,113,219,35,58,52,52,57,7.03,-5.23,-17.75,-1.34
"3","1024","2017",51.96127,-123.0048,1117,3.4,14.4,-8.1,22.5,390,198,34.5,72.7,900,1107,5301,21,140,165,246,81,122,-40.2,34.5,596,348,12.2,55,-13.03,403,-1.7,11,21.2,9.6,-11.8,-3.2,5.3,-3,-6.7,3.9,13.3,3.3,77,66,138,109,4.3,15.7,21,8,657,90,0,154,1,151,764,190,2226,1296,441,1339,0,3,15,3,1,24,86,28,68,17,1,35,0,157,346,93,0,106,209,33,58,52,52,57,7.71,-4.12,-16.56,-0.06
"4","1045","2017",51.97654,-123.2517,1014,3.6,14.6,-8.4,22.9,339,181,40,80.3,901,1139,5263,23,143,162,245,83,100,-40.9,34.3,598,372,12,55,-18.22,423,-1.6,11.2,21.4,9.8,-12.2,-2.9,5.6,-2.8,-6.9,4.1,13.5,3.5,64,54,127,93,4.2,15.2,20.5,8.1,668,86,0,146,1,161,783,194,2241,1278,421,1323,0,3,16,3,1,26,87,29,57,13,1,28,0,158,347,93,0,116,220,36,57,53,53,57,6.4,-5.52,-17.4,-1.7
"5","1049","2017",51.97211,-123.0771,1080,3.6,14.6,-8,22.6,368,190,36.9,76.6,885,1137,5247,23,141,164,247,83,111,-40.1,34.7,603,364,12.3,55,-16.37,421,-1.6,11.3,21.5,9.8,-11.8,-3,5.4,-2.8,-6.7,4.1,13.5,3.5,72,61,134,101,4.4,15.8,21,8,652,86,0,148,2,159,780,196,2220,1280,423,1324,0,3,16,3,1,25,86,29,63,15,1,31,0,159,350,93,0,112,217,35,58,52,52,57,7.11,-4.97,-17.47,-1.04
"6","1050","2017",51.97137,-123.048,1104,3.5,14.4,-8.1,22.6,380,194,35.5,74.3,897,1115,5289,21,139,166,246,80,117,-40.3,34.5,599,355,12.2,55,-14.48,408,-1.6,11.1,21.3,9.7,-11.9,-3.1,5.3,-3,-6.7,4,13.3,3.3,75,64,136,105,4.2,15.6,21,8.1,656,89,0,152,1,153,769,191,2225,1292,436,1335,0,3,15,3,1,24,86,28,66,16,1,33,0,158,348,93,0,109,212,34,58,52,52,57,7.48,-4.49,-16.93,-0.55
"7","1052","2017",51.9706,-123.0188,1123,3.4,14.3,-8.2,22.5,389,198,34.5,72.2,905,1099,5317,20,139,166,246,80,122,-40.4,34.4,595,347,12.2,55,-12.96,398,-1.7,11,21.2,9.6,-11.9,-3.2,5.3,-3,-6.8,3.9,13.2,3.3,77,66,139,107,4,15.7,21,8,659,91,0,155,1,150,760,188,2228,1301,444,1343,0,3,14,3,1,24,86,28,68,17,1,35,0,157,346,93,0,107,207,33,58,52,52,57,7.68,-4.09,-16.43,-0.12
"8","1053","2017",51.97026,-123.0043,1144,3.3,14.2,-8.2,22.4,396,202,33.6,70.5,912,1084,5344,20,138,166,246,80,125,-40.4,34.3,591,338,12.2,55,-11.55,389,-1.7,10.8,21,9.4,-11.9,-3.2,5.2,-3,-6.8,3.8,13.1,3.2,79,67,140,110,4,15.7,21,8,662,93,0,157,1,146,752,185,2232,1310,453,1350,0,3,14,3,1,23,86,28,70,18,2,36,0,155,344,92,0,103,203,32,58,53,52,57,7.85,-3.71,-15.97,0.28
"9","1075","2017",51.985,-123.2368,834,4.4,15.7,-7.9,23.6,318,171,45.4,92,829,1338,4958,38,156,153,251,98,85,-39.6,35.4,663,439,11.8,56,-25.36,555,-1.5,12.4,22.7,10.5,-11.5,-1.9,6.6,-1.9,-6.5,5.3,14.7,4.3,62,49,122,85,3.8,15,20.3,7.9,640,64,0,125,2,212,892,232,2206,1174,329,1249,0,5,29,4,2,32,89,34,54,7,1,23,0,202,363,97,0,154,241,44,59,53,52,58,6.03,-8.15,-19.81,-3.43
"10","1080","2017",51.98108,-123.0765,1078,3.6,14.6,-8.1,22.7,372,192,36.5,76,889,1137,5251,23,141,165,247,82,112,-40.2,34.7,603,362,12.3,55,-15.92,422,-1.6,11.3,21.5,9.8,-11.8,-3,5.4,-2.9,-6.7,4.1,13.5,3.5,73,63,135,102,4.5,15.9,21,8,654,86,0,148,2,159,781,196,2223,1281,422,1326,0,3,16,3,1,24,86,29,64,15,1,32,0,159,350,93,0,111,216,35,58,52,52,57,7.24,-4.83,-17.38,-0.96
