"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","1708","2017",52.34206,-123.155,1266,1.9,12.8,-9.9,22.7,406,222,29.3,57.6,1097,853,5862,10,122,174,237,63,146,-44.4,32.2,535,268,11.5,54,-1.37,251,-2.1,9.1,19,8.1,-14.5,-4.6,4.6,-4.3,-8.3,2.2,11.8,1.9,80,64,155,107,3.7,15,20.3,7.1,767,135,0,194,1,95,628,129,2366,1452,574,1470,0,2,7,2,1,17,83,22,75,25,3,43,0,140,312,83,0,89,157,22,50,53,56,57,7.99,-1.34,-10.53,2.51
"2","1723","2017",52.35461,-123.3014,1195,2.1,13.1,-9.9,22.9,387,213,31.3,61.4,1088,900,5780,11,125,172,238,66,134,-44.2,32.6,548,292,11.6,54,-5.11,277,-2.3,9.5,19.5,8.3,-14.4,-4.4,4.7,-4.1,-8.3,2.6,12.1,2.1,75,58,151,103,3.7,15,20.2,7.6,773,126,0,188,1,105,654,140,2368,1422,544,1447,0,2,8,2,1,18,84,23,70,21,3,40,0,143,319,85,0,97,168,26,51,53,55,57,7.5,-2.46,-11.72,1.57
"3","1724","2017",52.35757,-123.2914,1196,2.1,13.1,-9.8,22.9,387,213,31.2,61.4,1088,896,5786,11,124,172,238,66,134,-44,32.6,548,291,11.6,54,-4.96,275,-2.3,9.5,19.4,8.3,-14.3,-4.4,4.6,-4.1,-8.3,2.5,12,2.1,75,58,151,103,3.7,15,20,7.6,772,127,0,189,1,104,652,139,2367,1425,546,1449,0,2,8,2,1,18,83,22,70,21,3,40,0,143,319,85,0,97,168,26,51,52,55,57,7.5,-2.42,-11.67,1.63
"4","1738","2017",52.38168,-124.242,1177,2.1,12.9,-9.3,22.2,357,183,33.9,70.6,1075,886,5785,11,117,175,236,61,131,-44.4,33.1,566,338,11.7,51,-10.44,267,-1.5,9.5,20,8.9,-14.5,-5,3.8,-4.3,-8,2.2,11.9,2.3,67,57,129,104,3.7,15,20,8,747,144,0,184,1,99,638,148,2337,1453,564,1431,0,2,7,2,1,16,79,21,62,24,2,42,0,145,333,89,0,102,203,33,48,50,51,54,6.72,-2.44,-15.67,0.96
"5","1739","2017",52.38141,-124.2274,1231,1.9,12.6,-9.1,21.8,355,183,33.6,69.1,1087,843,5851,10,115,176,236,59,132,-44.3,32.7,556,328,11.7,51,-9.13,242,-1.4,9.2,19.6,8.6,-14.5,-5.2,3.6,-4.4,-8,2,11.6,2.1,66,56,129,103,3.7,15,20,8,745,151,0,191,1,91,611,140,2333,1476,591,1450,0,2,6,2,1,15,78,21,61,25,3,44,0,142,327,87,0,99,197,32,48,51,51,55,6.64,-2.03,-15,1.26
"6","1754","2017",52.36101,-123.3432,1169,2.2,13.2,-9.9,23,384,212,31.8,62.2,1086,920,5753,12,126,170,239,69,130,-44.1,32.8,554,298,11.5,54,-6.27,288,-2.3,9.7,19.7,8.5,-14.4,-4.2,4.7,-4.1,-8.3,2.7,12.2,2.2,73,58,150,102,3.7,15,20.3,7,774,122,0,189,1,110,663,145,2369,1408,535,1440,0,2,8,2,1,19,84,23,69,20,2,39,0,145,323,86,0,99,173,27,51,53,54,56,7.35,-2.73,-12.21,1.32
"7","1757","2017",52.36322,-123.2862,1248,1.9,12.7,-10,22.7,388,213,30.7,59.7,1103,847,5869,10,121,174,237,63,138,-44.4,32.2,538,282,11.5,54,-3.54,246,-2.2,9.2,19,8.1,-14.6,-4.6,4.4,-4.3,-8.4,2.3,11.7,1.9,75,58,151,103,3.7,15,20,7.5,776,133,0,194,1,95,621,130,2373,1448,581,1468,0,2,6,2,1,17,82,22,70,23,3,42,0,140,314,84,0,94,163,25,50,52,55,57,7.51,-1.98,-11.1,2.03
"8","1759","2017",52.3637,-123.2614,1262,1.8,12.7,-10,22.6,388,213,30.5,59.6,1106,842,5880,10,121,174,236,62,139,-44.5,32.1,535,279,11.8,54,-3.06,243,-2.2,9.1,18.9,8.1,-14.6,-4.7,4.4,-4.4,-8.4,2.2,11.7,1.8,75,58,151,103,3.7,15,20.3,8,776,135,0,195,1,93,620,128,2372,1454,582,1472,0,2,6,2,1,17,83,21,71,23,3,42,0,140,312,83,0,94,161,25,50,53,55,56,7.54,-1.84,-10.91,2.14
"9","1760","2017",52.36141,-123.2127,1173,2.2,13.3,-9.7,23,393,214,31.1,62.2,1075,927,5736,13,127,171,238,66,136,-43.8,32.8,551,293,11.6,54,-4.96,296,-2.2,9.6,19.7,8.4,-14.2,-4.3,4.9,-4,-8.2,2.7,12.3,2.2,78,61,150,104,3.6,15,20.3,7.3,766,124,0,184,1,109,675,142,2359,1413,525,1439,0,2,9,2,1,18,85,23,73,22,2,40,0,145,321,86,0,97,171,25,51,52,55,57,7.78,-2.37,-11.98,1.61
"10","1761","2017",52.36008,-123.1539,1277,1.9,12.8,-10,22.7,407,222,29.2,57.6,1098,844,5875,10,121,175,236,61,148,-44.5,32.2,533,266,11.5,54,-0.9,247,-2.1,9,18.9,8,-14.5,-4.7,4.6,-4.3,-8.3,2.2,11.7,1.8,80,64,155,107,3.7,15,20.3,7.2,766,138,0,194,1,92,625,127,2365,1460,577,1473,0,2,7,2,1,16,83,21,75,26,3,44,0,139,311,83,0,88,156,22,50,53,56,57,8,-1.15,-10.36,2.61
