,,Contract,Plot ID,Zone,Easting,Northing,Coordinate source,FDI_count_bin,PLI_count_bin,Sx_count_bin,Distance to FDI (m),Distance to PLI (m),Distance to Sx (m),Distance to tree,notes,notes 2,
0,,Toosey,13,10,485004,5718397,Field UTM,0,1,1,,,,1.8,In plantation,,
0,,Elhdaqox,13,10,485007,5718403,Field UTM,0,1,1,,,,1.8,In plantation,,
0,,NA,20,10,486052,5719359,Field UTM,0,1,1,,,,14.1,,,
L,,NA,141,10,499771,5735835,Field UTM,1,1,0,,,,,,Live tree on plot,
L,,NA,158,10,455793,5738613,Field UTM,1,0,1,,,,,,Live tree on plot,
L,,NA,159,10,456801,5738565,Field UTM,1,0,0,,,,,,Live tree on plot,
L,,NA,161,10,480804,5737551,Field UTM,0,0,1,,,,,,Live tree on plot,
L,,NA,162,10,481817,5737505,Field UTM,1,1,1,,,,,,Live tree on plot,
0,,NA,163,10,486812,5737301,Field UTM,0,1,0,,,,82.6,,,
L,,NA,165,10,499810,5736745,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,Toosey,193,10,471846,5738929,Field UTM,0,1,0,,,,753.2,,,
0,,Elhdaqox,193,10,471848,5738925,Field UTM,0,1,0,,,,757.4,,,
L,,NA,194,10,481851,5738507,Field UTM,1,1,0,,,,,,Live tree on plot,
0,,NA,197,10,499859,5737747,Field UTM,0,1,0,,,,9.637,,,
L,,NA,227,10,468891,5740053,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,229,10,479894,5739589,Field UTM,0,1,1,,,,4.8,,,
0,,NA,231,10,484902,5739375,Field UTM,0,1,0,,,,12.9,,,
0,,NA,232,10,485891,5739332,Field UTM,1,1,0,,,,31.7,,,
0,,NA,234,10,488898,5739205,Field UTM,0,1,0,,,,46.5,,,
0,30.7,NA,235,10,494904,5738948,Field UTM,1,0,0,,,,245.8,,,
L,,NA,270,10,469929,5741010,Field UTM,0,1,0,,,,,,Live tree on plot,
0,,NA,276,10,486940,5740286,Field UTM,1,1,0,,,,15,,,
0,,NA,279,10,489941,5740162,Field UTM,0,0,0,,,,101.6,,,
0,,NA,281,10,494939,5739956,Field UTM,0,1,0,,,,184.9,,,
0,,NA,282,10,495940,5739901,Field UTM,0,1,0,,,,17.8,,,
0,,NA,284,10,499906,5739667,Field UTM,1,1,0,,,,5.7,,,
0,,NA,315,10,467969,5742095,Field UTM,0,1,0,,,,31.4,,,
