"","SampleSite_ID","Species","Plot_Sp","total","x0","x10","x30","x130","X","UNIQUE_ID","Contract","Zone","Easting","Northing","Coordinate_source","Latitude","Longitude","Aspect","Elevation","Slope","TWI","BEC_Zone","BEC_Subzone","BEC_Variant","Solar_Radiation","PARENT_SOILS","SOILNAME_1","TEXTURE_1","PERCENT_1","DRAIN_1","COFRAG_1","SOILNAME_2","TEXTURE_2","PERCENT_2","DRAIN_2","COFRAG_2","SOILNAME_3","TEXTURE_3","PERCENT_3","DRAIN_3","COFRAG_3","FIRE_NUMBER_1","FIRE_YEAR_1","BURN_SEVERITY_RATING_1","FIRE_DATE_1","PATCH_SIZE_1","CROWN_CLOSURE_1","SPECIES_CD_1_1","SPECIES_PCT_1_1","PROJ_AGE_1_1","PROJ_HEIGHT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","PROJ_AGE_2_1","PROJ_HEIGHT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","SPECIES_CD_5_1","SPECIES_PCT_5_1","SPECIES_CD_6_1","SPECIES_PCT_6_1","DISTURBANCE_TYPE_1","DISTURBANCE_DATE_1","HARVEST_DATE_1","FIRE_NUMBER_2","FIRE_YEAR_2","BURN_SEVERITY_RATING_2","FIRE_DATE_2","PATCH_SIZE_2","CROWN_CLOSURE_2","SPECIES_CD_1_2","SPECIES_PCT_1_2","PROJ_AGE_1_2","PROJ_HEIGHT_1_2","SPECIES_CD_2_2","SPECIES_PCT_2_2","PROJ_AGE_2_2","PROJ_HEIGHT_2_2","SPECIES_CD_3_2","SPECIES_PCT_3_2","SPECIES_CD_4_2","SPECIES_PCT_4_2","SPECIES_CD_5_2","SPECIES_PCT_5_2","SPECIES_CD_6_2","SPECIES_PCT_6_2","DISTURBANCE_TYPE_2","DISTURBANCE_DATE_2","HARVEST_DATE_2","DISTANCE_TO_PERIMETER","Card","Beers_aspect","Azimuth","Distance"
"1",-1291634974,"NonCon","-1291634974NonCon",27,0,0,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-1291634974,"PLI","-1291634974PLI",66,0,0,19,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0,"FDI","0FDI",4,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,"PLI","3PLI",15,1,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",13,"PLI","13PLI",17,0,3,7,7,1,1,"Toosey",10,485004,5718397,"Field UTM",51.61640228,-123.2165934,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,62.46410946,13,1.51339347519461,"W","1.8"
"6",13,"PLI","13PLI",17,0,3,7,7,1,1,"Toosey",10,485004,5718397,"Field UTM",51.61640228,-123.2165934,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,62.46410946,13,1.51339347519461,"W","1.8"
"7",13,"PLI","13PLI",17,0,3,7,7,2,2,"Elhdaqox",10,485007,5718403,"Field UTM",51.61645631,-123.2165503,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,58.3400901,13,1.51339347519461,"W","1.8"
"8",13,"PLI","13PLI",17,0,3,7,7,2,2,"Elhdaqox",10,485007,5718403,"Field UTM",51.61645631,-123.2165503,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,58.3400901,13,1.51339347519461,"W","1.8"
"9",13,"SX","13SX",1,1,0,0,0,1,1,"Toosey",10,485004,5718397,"Field UTM",51.61640228,-123.2165934,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,62.46410946,13,1.51339347519461,"W","1.8"
"10",13,"SX","13SX",1,1,0,0,0,1,1,"Toosey",10,485004,5718397,"Field UTM",51.61640228,-123.2165934,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,62.46410946,13,1.51339347519461,"W","1.8"
