Card,Regen,ID,DisplayName,TreeNumber,Species,Status,StandingOrLeaning,DBH,Height,BrokenTop,BarkBurn_Percent,BurnLength,Notes
1628,Regen,-5.50038E+11,Overstory:  - ,,,,,,,,,,
1628,Regen,2.01167E+11,Overstory: 1 - PLI,1,PLI,L,S,5.6,3.1,N,0,0,
1628,Regen,-2.27727E+11,Overstory:  - ,,,,,,,,,,
1628,Regen,-5.9019E+11,Overstory:  - ,,,,,,,,,,
1982,Regen,1.22265E+11,Overstory: 1 - PLI,1,PLI,D,S,8.6,13.6,N,60,0.5,
1982,Regen,9.41147E+11,Overstory: 2 - PLI,2,PLI,D,S,6.5,8.9,N,40,0.3,
1982,Regen,4.95589E+11,Overstory: 3 - PLI,3,PLI,D,S,11.1,13.4,N,25,0.5,
1982,Regen,6.00832E+11,Overstory: 4 - PLI,4,PLI,D,S,19.7,16.8,N,30,1.5,
1982,Regen,3.18689E+11,Overstory: 5 - PLI,5,PLI,D,S,13,16.6,N,50,1,
1982,Regen,-1.35535E+11,Overstory:  - ,,,,,,,,,,
1982,Regen,2.35753E+11,Overstory: 1 - PLI,1,PLI,D,S,15.7,16,N,50,1.5,
1982,Regen,6.78352E+11,Overstory: 2 - PLI,2,PLI,D,S,15.1,15.4,N,50,1.6,
1982,Regen,7.44815E+11,Overstory: 3 - PLI,3,PLI,D,L,10.1,13.7,N,50,1.3,
1982,Regen,6.31383E+11,Overstory: 1 - PLI,1,PLI,D,L,7.3,7.9,N,75,1,
1982,Regen,-5.62187E+11,Overstory:  - ,,,,,,,,,,
1982,Regen,1.70151E+11,Overstory: 1 - PLI,1,PLI,D,S,7.1,9.2,N,25,0.3,
1982,Regen,4.9285E+11,Overstory: 2 - PLI,2,PLI,D,S,15.8,15.5,N,50,1.5,
1982,Regen,8.63016E+11,Overstory: 3 - PLI,3,PLI,D,S,13.5,15.4,N,50,1.6,
1982,Regen,8.44126E+11,Overstory: 4 - PLI,4,PLI,D,S,15.5,13.9,N,75,1.7,
1657,Regen,-3.73571E+11,Overstory:  - ,,,,,,,,,,
1657,Regen,-1.52949E+11,Overstory:  - ,,,,,,,,,,
1657,Regen,-2.75065E+11,Overstory:  - ,,,,,,,,,,
1657,Regen,-7.72094E+11,Overstory:  - ,,,,,,,,,,
1657,Regen,-9.51805E+11,Overstory:  - ,,,,,,,,,,
1657,Regen,-9.12582E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-3.63903E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-4.86026E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-8.21392E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-3.52363E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-3.81604E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-9.85623E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-7.19411E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-3.28227E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-5.99E+11,Overstory:  - ,,,,,,,,,,
1438,Regen,-2.06678E+11,Overstory:  - ,,,,,,,,,,
2042,Regen,-8.89761E+11,Overstory:  - ,,,,,,,,,,
1658,Regen,-1.86015E+11,Overstory:  - ,,,,,,,,,,
