SampleSite_ID,dNBR,BARC
1589,0.136749105,2
1590,0.449867477,3
1602,0.289050351,3
1612,0.637624522,3
1615,0.240181024,2
1625,0.247591689,2
1627,0.052248173,1
1631,0.257126098,2
1634,0.386201002,3
1635,0.325854901,3
1637,0.42577527,3
1640,0.178049564,2
1647,0.424339987,3
1648,0.561243435,3
1649,0.334911793,3
1651,0.125722639,2
1662,0.094513602,1
1663,0.105604768,2
1665,0.586785555,3
1666,0.417919241,3
1672,0.271076821,2
1674,0.588266393,3
1675,0.320917447,3
1678,0.631066402,3
1679,0.081480164,1
1685,0.434249202,3
1686,0.604761526,3
1701,0.113716451,2
1702,0.259084128,2
1705,0.476989031,3
1706,0.346515298,3
1707,0.590235561,3
1708,0.647331595,3
1723,0.459813245,3
1724,0.171924198,2
1738,0.31738086,3
1739,0.247820581,2
1754,0.431767176,3
1757,0.182983184,2
1759,0.123505622,2
1760,0.067538789,1
1761,0.648437063,3
1770,0.290752709,3
1771,0.237830187,2
1772,0.326631685,3
1789,0.115586889,2
1791,0.249734784,2
1792,0.384951229,3
1793,0.296629578,3
1794,0.638552686,3
1795,0.18772427,2
1796,0.229465857,2
1798,0.361850023,3
1805,0.328925739,3
1816,0.198196048,2
1825,0.158309676,2
1831,-0.005940919,1
1833,0.332770765,3
1835,0.5053868,3
1836,-0.011903994,1
1840,0.158632949,2
1844,0.253535981,2
1845,0.369700213,3
1876,0.25985004,2
1889,0.473463227,3
1916,0.128168593,2
1931,0.605154276,3
1936,0.04052595,1
1942,-0.001967734,1
1979,0.471973201,3
1981,0.440306067,3
1982,0.325877676,3
2034,0.491743515,3
2035,0.369308253,3
2041,0.424557199,3
2042,0.090356695,1
2043,0.119399453,2
2107,0.581889421,3
2108,0.247675158,2
2111,0.264963415,2
2113,0.279452085,3
2115,0.436972812,3
2155,0.213550314,2
2158,0.012763336,1
2159,0.761377394,4
2163,0.471973201,3
2195,0.482342819,3
2200,0.425906877,3
2202,0.24457029,2
2205,0.185581878,2
2208,-0.010666454,1
2210,0.255925809,2
2211,0.639277399,3
2212,0.335144177,3
2213,0.138574883,2
2251,0.236722703,2
2253,-0.061005875,1
2269,0.062708218,1
2271,-0.009261296,1
2272,0.273413613,2
2311,0.474532589,3
2312,0.384998629,3
2317,0.320866942,3
2318,0.396426678,3
2334,-0.030727861,1
2336,0.647473594,3
2378,0.425473198,3
2379,0.289266359,3
2380,0.135127528,2
2412,0.627518356,3
2414,0.059165029,1
2460,0.6339252,3
2523,0.105251968,2
2626,0.366770342,3
2644,0.272646646,2
2646,0.10536698,2
2647,0.625565251,3
2662,-0.008456413,1
2664,0.593466928,3
1511,0.215699486,2
13,0.445652902,3
20,0.394513346,3
1653,0.140470378,2
1564,0.286889811,3
1476,0.47110372,3
1479,0.396008879,3
1481,0.309716597,3
1485,0.536528627,3
1498,0.481394758,3
1505,0.301395014,3
1510,0.370707542,3
1518,0.212938055,2
1522,0.166988872,2
1527,0.391799092,3
1529,0.277873198,3
1542,0.419755727,3
1544,0.648930609,3
1552,0.27169146,2
1562,0.652406693,3
1430,-0.136298129,1
1438,0.118806559,2
1440,0.168727448,2
1450,0.023661856,1
1460,0.123687882,2
1461,-0.093471164,1
1467,-0.146391213,1
814,0.303691421,3
1478,0.273567338,2
1482,0.063880257,1
1487,0.062216558,1
1507,0.346620232,3
1508,0.467103183,3
1526,-0.183182761,1
1535,0.379049167,3
1538,0.138186256,2
1539,0.082942003,1
1540,0.118172698,2
1554,0.193335801,2
1557,0.397788972,3
1558,0.191611126,2
1559,0.425758183,3
1560,0.049342188,1
1567,0.16284542,2
1569,0.524164736,3
1571,0.647381783,3
1573,0.165821988,2
1577,0.366903027,3
1578,0.388449177,3
1579,0.309426039,3
1580,0.137925215,2
1581,0.388929509,3
1583,0.166352769,2
1584,0.180248402,2
1587,-0.019439316,1
1591,0.067467804,1
1592,0.102027897,1
1594,-0.0537639,1
1596,0.027036491,1
1598,0.167337224,2
1601,0.17788516,2
1604,0.050683508,1
1605,0.020949161,1
1606,0.285518527,3
1607,0.051549694,1
1608,-0.100489937,1
1609,0.082634211,1
1617,0.155237896,2
1619,0.352329999,3
1620,0.494435738,3
1623,0.266361102,2
1624,-0.030001449,1
1627,0.119189251,2
1628,0.116467457,2
1630,0.145619417,2
1640,0.188509082,2
1643,-0.073787199,1
1644,-0.048644016,1
1645,0.1809317,2
1657,0.057008082,1
1658,-0.006080291,1
1662,0.281679515,3
1099,-0.059809592,1
1207,0.343792299,3
1209,0.206592699,2
1247,0.217610429,2
1362,0.644567192,3
158,0.344252199,3
159,0.067352677,1
358,0.127404556,2
407,0.129707056,2
408,0.080881404,1
454,0.443524698,3
801,0.396579504,3
844,0.637711306,3
845,0.62661168,3
846,0.372032315,3
847,0.233364388,2
851,0.306297133,3
852,0.314783171,3
892,0.499441564,3
893,0.593077689,3
894,0.459647268,3
895,0.337904702,3
899,0.432226196,3
933,0.353687629,3
974,0.265350603,2
1012,0.538658281,3
1068,0.657789141,3
1069,0.608878275,3
1160,0.407596909,3
1200,0.469729364,3
1235,0.182570431,2
1272,0.447268258,3
1273,0.442649156,3
1276,0.155913229,2
1319,0.043336926,1
1320,0.267762408,2
1321,0.315953453,3
1322,0.350272278,3
1356,0.503169805,3
1421,0.277821372,3
141,0.117126539,2
161,0.185093217,2
162,0.098718586,1
163,0.573032409,3
165,0.334078322,3
193,0.427893847,3
194,0.412137404,3
197,0.333462328,3
227,0.129974355,2
229,0.179716326,2
231,0.371107916,3
232,0.571579198,3
234,0.602072746,3
235,0.849444836,4
270,0.145407535,2
276,0.404707283,3
279,0.55651702,3
281,0.672985047,4
282,0.360708594,3
284,0.208258907,2
315,0.504475236,3
318,0.26905717,2
319,0.518767491,3
320,0.724991858,4
324,0.429974303,3
327,0.247495423,2
329,0.143091582,2
330,0.253690238,2
