"","Contract","Plot ID","Zone","Easting","Northing","Coordinate source","FDI_count_bin","PLI_count_bin","Spruce_count_bin","Species_1"
"1","Toosey",13,10,485004,5718397,"Field UTM",0,1,1,"Spruce"
"2","Elhdaqox",13,10,485007,5718403,"Field UTM",0,1,1,"Spruce"
"3",NA,20,10,486052,5719359,"Field UTM",0,1,1,"PLI"
"4",NA,141,10,499771,5735835,"Field UTM",1,1,0,"PLI"
"5",NA,158,10,455793,5738613,"Field UTM",1,0,1,"PLI"
"6",NA,159,10,456801,5738565,"Field UTM",1,0,0,"FDI"
"7",NA,161,10,480804,5737551,"Field UTM",0,0,1,"PLI"
"8",NA,162,10,481817,5737505,"Field UTM",1,1,1,"PLI"
"9",NA,163,10,486812,5737301,"Field UTM",0,1,0,"PLI"
"10",NA,165,10,499810,5736745,"Field UTM",1,1,0,"PLI"
"11","Toosey",193,10,471846,5738929,"Field UTM",0,1,0,"PLI"
"12","Elhdaqox",193,10,471848,5738925,"Field UTM",0,1,0,"PLI"
"13",NA,194,10,481851,5738507,"Field UTM",1,1,0,"FDI"
"14",NA,197,10,499859,5737747,"Field UTM",0,1,0,"PLI"
"15",NA,227,10,468891,5740053,"Field UTM",0,1,0,"PLI"
"16",NA,229,10,479894,5739589,"Field UTM",0,1,1,"Spruce"
"17",NA,231,10,484902,5739375,"Field UTM",0,1,0,"PLI"
"18",NA,232,10,485891,5739332,"Field UTM",1,1,0,"PLI"
"19",NA,234,10,488898,5739205,"Field UTM",0,1,0,"PLI"
"20",NA,235,10,494904,5738948,"Field UTM",1,0,0,"PLI"
"21",NA,270,10,469929,5741010,"Field UTM",0,1,0,""
"22",NA,276,10,486940,5740286,"Field UTM",1,1,0,"PLI"
"23",NA,279,10,489941,5740162,"Field UTM",0,0,0,"PLI"
"24",NA,281,10,494939,5739956,"Field UTM",0,1,0,"PLI"
"25",NA,282,10,495940,5739901,"Field UTM",0,1,0,"PLI"
"26",NA,284,10,499906,5739667,"Field UTM",1,1,0,"FDI"
"27",NA,315,10,467969,5742095,"Field UTM",0,1,0,"PLI"
"28",NA,318,10,474975,5741799,"Field UTM",0,0,0,"PLI"
"29",NA,319,10,478973,5741620,"Field UTM",0,1,0,"PLI"
"30",NA,320,10,481976,5741504,"Field UTM",1,1,0,"FDI"
"31",NA,324,10,487981,5741247,"Field UTM",0,1,0,"PLI"
"32",NA,327,10,492984,5741041,"Field UTM",1,1,0,"FDI"
"33",NA,329,10,494981,5740948,"Field UTM",0,0,0,"PLI"
"34",NA,330,10,498989,5740783,"Field UTM",1,1,0,"FDI"
"35",NA,331,10,499998,5740737,"Field UTM",1,0,0,"FDI"
"36",NA,358,10,457009.3529,5743550.01,"Intended lat/long",0,0,0,""
"37",NA,360,10,468009,5743090,"Field UTM",1,1,1,"PLI"
"38",NA,361,10,469023,5743039,"Field UTM",0,0,0,"PLI"
