"","Card","Species_1","Elevation","Fire_Year_1","Fire_Year_2","Notes"
"1",-1291634974,NA,NA,NA,NA,""
"2",0,NA,NA,NA,NA,NA
"3",3,"PLI",1436,2003,NA,""
"4",13,"Spruce",1468,2009,NA,""
"5",13,"Spruce",1468,2009,NA,""
"6",20,"PLI",1483,2009,NA,""
"7",141,"PLI",1194,2017,NA,""
"8",158,"PLI",1194,2009,NA,""
"9",159,"FDI",1283,2009,NA,"Live mature surrounding plot. Fdi beetle present"
"10",161,"PLI",1198,2017,NA,"only evidence of burn is in 5.64"
"11",162,"PLI",1198,2017,NA,"Barely burnt. Aspen stand. Only evidence is charging on the base of some aspen"
"12",163,"PLI",1144,2017,NA,""
"13",165,"PLI",1166,2017,NA,""
"14",193,"PLI",1188,2017,NA,"planted"
"15",193,"PLI",1188,2017,NA,""
"16",194,"FDI",1158,2017,NA,""
"17",197,"PLI",1172,2017,NA,""
"18",227,"PLI",1188,2017,NA,""
"19",229,"Spruce",1150,2017,NA,""
"20",231,"PLI",1142,2017,NA,""
"21",232,"PLI",1157,2017,NA,""
"22",234,"PLI",1107,2017,NA,""
"23",235,"PLI",1191,2017,NA,""
"24",270,"",1183,2017,NA,""
"25",276,"PLI",1150,2017,NA,""
"26",279,"PLI",1074,2017,NA,""
"27",281,"PLI",1204,2017,NA,""
"28",282,"PLI",1205,2017,NA,""
"29",284,"FDI",1283,2017,NA,""
"30",315,"PLI",1175,2017,NA,"in salvage block"
"31",318,"PLI",1169,2017,NA,"planted"
"32",319,"PLI",1172,2017,NA,""
"33",320,"FDI",1211,2017,NA,""
"34",324,"PLI",1104,2017,NA,""
"35",327,"FDI",1261,2017,NA,""
"36",329,"PLI",1241,2017,NA,"protected by road"
"37",330,"FDI",1269,2017,NA,""
"38",331,"FDI",1168,2017,NA,""
"39",358,"",1157,2009,NA,"Site prep and Planted."
"40",360,"PLI",1176,2017,NA,""
"41",361,"PLI",1162,2017,NA,"no evidence of burn"
"42",366,"FDI",1140,2017,NA,""
"43",367,"PLI",1067,2017,NA,""
"44",369,"PLI",1104,2017,NA,""
"45",370,"PLI",1211,2017,NA,"plot in post fire ibd sanitation area"
"46",371,"FDI",1279,2017,NA,""
"47",375,"FDI",1335,2017,NA,""
"48",407,"",1159,2009,NA,"Gravel depression, surrounded area dominated by class 3 pli and larger."
"49",408,"PLI",1172,2009,NA,"Mature over story. Old surface fire in plot possibly 80 years ago."
"50",413,"",1160,2017,NA,"no trees in plot"
"51",417,"",1105,2017,NA,""
"52",419,"PLI",1190,2017,NA,""
"53",420,"PLI",1266,2017,NA,""
"54",421,"FDI",1279,2017,NA,""
"55",423,"FDI",1083,2017,NA,""
"56",424,"AT",1058,2017,NA,""
"57",425,"FDI",1051,2017,NA,"South quadrants are in rd pullout. half of north quadrants are burm of rd pullout"
"58",454,"PLI",1164,2009,NA,"Zellaria evidence throughout quads."
"59",456,"PLI",1142,2009,NA,"No good sample tree. Photo on AR phone."
"60",460,"FDI",1175,2017,NA,""
"61",464,"FDI",1099,2017,NA,""
"62",466,"FDI",1249,2017,NA,""
"63",467,"FDI",1142,2017,NA,""
"64",469,"Spruce",1587,2017,NA,"Photo on AR phone"
"65",499,"FDI",1166,2017,NA,"No evidence of burn"
"66",502,"FDI",1156,2017,NA,""
"67",503,"FDI",1131,2017,NA,""
"68",505,"FDI",1091,2017,NA,""
"69",506,"FDI",1188,2017,NA,""
"70",535,"PLI",1134,2017,NA,""
"71",536,"FDI",1164,2017,NA,""
"72",538,"PLI",1105,2017,NA,""
"73",540,"",1100,2017,NA,""
"74",541,"Spruce",1030,2017,NA,""
"75",545,"FDI",1035,2017,NA,"area has been logged"
"76",574,"PLI",1088,2017,NA,""
"77",577,"FDI",1068,2017,NA,""
"78",581,"FDI",1126,2017,NA,""
"79",585,"FDI",1019,2017,NA,"area has been logged"
"80",618,"FDI",1064,2017,NA,""
"81",620,"FDI",1109,2017,NA,""
"82",653,"FDI",1146,2017,NA,""
"83",657,"FDI",1134,2017,NA,""
"84",659,"FDI",1132,2017,NA,""
"85",661,"FDI",1059,2017,NA,""
"86",662,"FDI",1075,2017,NA,""
"87",666,"FDI",944,2017,NA,""
"88",669,"FDI",856,2017,NA,""
"89",707,"FDI",1150,2017,NA,"No sample tree"
"90",708,"FDI",1130,2017,NA,"No live sample tree in plot"
"91",711,"FDI",918,2017,NA,""
"92",717,"FDI",829,2017,NA,""
"93",718,"FDI",779,2017,NA,""
"94",719,"FDI",758,2017,NA,""
"95",758,"PLI",1101,2017,NA,""
"96",761,"FDI",1132,2017,NA,"Plot landed adjacent two vet Fdi that survived the wildfire but succumbed to fir beetle/stress"
"97",766,"FDI",853,2017,NA,"in draw"
"98",801,"FDI",1108,2009,NA,"Live mature Fdi surrounding plot. Most tree <10cm are germinants from 2021-2022."
