"","Card","Species","Count","AvgHt","AvgDBH","MaxHt","MaxDBH"
"1",-1291634974,"PLI",6,3.46666666666667,4.7,4.1,5.1
"2",0,"FDI",1,22.2,3.9,22.2,3.9
"3",13,"PLI",36,4.37222222222222,6.62222222222222,6.8,11
"4",141,"FDI",1,5.5,5.3,5.5,5.3
"5",158,"Spruce",2,4.9,4.05,5.7,7.5
"6",159,"FDI",9,12.1777777777778,24.7666666666667,24.5,99.2
"7",161,"NonCon",3,0,27.4333333333333,0,34.1
"8",161,"Spruce",1,0,8,0,8
"9",162,"NonCon",4,9.75,15.575,13.6,18.2
"10",162,"PLI",1,10.1,15.1,10.1,15.1
"11",165,"PLI",6,10.2833333333333,9.55,11.7,13
"12",194,"NonCon",1,8.9,11.3,8.9,11.3
"13",194,"PLI",1,11.5,17.6,11.5,17.6
"14",227,"PLI",5,11.64,13.82,13.2,16.8
"15",229,"NonCon",3,16.3333333333333,19.2333333333333,17.7,23.6
"16",270,"PLI",1,2.7,4.7,2.7,4.7
"17",327,"FDI",1,4.7,6,4.7,6
"18",327,"PLI",1,4.9,7.3,4.9,7.3
"19",330,"FDI",1,10.7,20,10.7,20
"20",366,"PLI",1,8.7,12.4,8.7,12.4
"21",370,"FDI",1,4,4.8,4,4.8
"22",370,"PLI",1,7.1,7.1,7.1,7.1
"23",375,"FDI",2,10.5,12.15,17.3,19.9
"24",407,"PLI",6,4.2,6.08333333333333,5.4,7.4
"25",408,"PLI",4,8.875,11.225,9.8,15.1
"26",420,"PLI",3,6.83333333333333,8.06666666666667,7.3,10.1
"27",456,"PLI",4,6.075,8.525,10.2,15.9
"28",469,"PLI",1,12.7,22.3,12.7,22.3
"29",574,"PLI",1,3.5,8,3.5,8
"30",577,"FDI",6,13.5,20.6333333333333,24.6,41.8
"31",618,"FDI",4,18.9,29.8,28.1,48.5
"32",620,"PLI",1,3.9,7.2,3.9,7.2
"33",653,"FDI",1,5.9,9.5,5.9,9.5
"34",661,"FDI",1,6,4.8,6,4.8
"35",662,"FDI",1,11,14.1,11,14.1
"36",669,"FDI",1,22.3,24.5,22.3,24.5
"37",801,"FDI",1,3.1,4.1,3.1,4.1
"38",810,"FDI",1,18.9,42.3,18.9,42.3
"39",814,"FDI",1,5,7.7,5,7.7
"40",815,"FDI",1,4.4,5.6,4.4,5.6
"41",847,"PLI",3,7.86666666666667,11.5333333333333,11.1,14.8
"42",851,"PLI",1,11.4,13.3,11.4,13.3
"43",895,"PLI",1,9.5,11.2,9.5,11.2
"44",900,"FDI",1,12.6,37.4,12.6,37.4
"45",1045,"FDI",1,21,41.3,21,41.3
"46",1052,"PLI",1,4.9,7.4,4.9,7.4
"47",1053,"FDI",1,5.3,4.8,5.3,4.8
"48",1075,"FDI",1,18.3,39,18.3,39
"49",1108,"FDI",5,14.66,20.14,20.3,29
"50",1110,"FDI",2,13.4,21.7,14.7,29.6
"51",1111,"FDI",6,14.6333333333333,21.6333333333333,21,29.7
"52",1142,"FDI",3,23,31.6333333333333,26.6,34.5
"53",1153,"PLI",8,4.175,5.275,4.9,7
"54",1192,"PLI",3,4.56666666666667,7.16666666666667,4.7,7.7
"55",1207,"PLI",1,3.2,4.8,3.2,4.8
"56",1209,"PLI",5,3.46,5.1,3.9,6.2
"57",1214,"FDI",1,7.5,10.1,7.5,10.1
"58",1219,"FDI",2,18.85,26.35,19.2,28.7
"59",1220,"FDI",2,13.55,22.2,15.7,26.6
"60",1225,"PLI",6,6.96666666666667,9.78333333333333,9.3,13.4
"61",1235,"PLI",6,10.9833333333333,8.68333333333333,12.2,14.9
"62",1253,"FDI",1,22.6,45.9,22.6,45.9
"63",1258,"FDI",1,14.8,24.6,14.8,24.6
"64",1259,"NonCon",1,7.7,6,7.7,6
"65",1261,"FDI",1,4.7,6.5,4.7,6.5
"66",1276,"PLI",3,10.3,12.8333333333333,10.8,13.2
"67",1295,"FDI",2,12,20.05,18.1,22
"68",1299,"FDI",1,19,43.4,19,43.4
"69",1319,"PLI",5,8.6,7.84,9.8,13.2
"70",1321,"PLI",1,12.1,13.4,12.1,13.4
"71",1341,"PLI",3,10.0333333333333,11.9,10.7,13.7
"72",1356,"PLI",5,3.38,4.56,3.7,5.4
"73",1364,"FDI",7,8.88571428571429,12.8571428571429,12.3,20.1
"74",1398,"PLI",1,7.4,9.7,7.4,9.7
"75",1413,"Spruce",4,8,8.075,12.2,13.6
"76",1430,"FDI",1,7.2,1,7.2,1
"77",1460,"FDI",2,4.5,7.9,4.5,7.9
"78",1485,"PLI",2,3.4,5.1,3.4,5.1
"79",1522,"PLI",1,12.8,14.7,12.8,14.7
"80",1526,"PLI",6,4.4,6.25,5.1,7.2
"81",1531,"NonCon",1,5.9,5,5.9,5
"82",1552,"FDI",5,8.52,13.42,13,24.5
"83",1557,"PLI",5,0,10.3,0,13.3
"84",1573,"PLI",1,4.5,7.7,4.5,7.7
"85",1580,"PLI",1,3.3,5,3.3,5
"86",1587,"PLI",2,3.7,5.1,3.8,5.5
"87",1589,"PLI",2,3,4.8,3,5.1
"88",1592,"PLI",1,3.6,4.5,3.6,4.5
"89",1594,"PLI",3,4.4,4.73333333333333,4.9,5.2
"90",1596,"PLI",2,4.65,6.3,4.9,6.5
"91",1598,"PLI",2,3.5,5.1,3.6,5.4
"92",1605,"PLI",1,3.3,5,3.3,5
"93",1607,"PLI",1,3.7,5.3,3.7,5.3
"94",1608,"PLI",4,3.675,4.75,3.9,5.1
"95",1609,"PLI",4,3.05,4.525,3.3,5.1
"96",1628,"PLI",1,3.1,5.6,3.1,5.6
"97",1658,"PLI",2,3.6,5.55,3.6,6.5
"98",1663,"PLI",5,4.84,7.88,5.4,10.3
"99",1795,"PLI",1,7.6,10,7.6,10
"100",1916,"PLI",1,5.8,8,5.8,8
"101",2113,"PLI",1,11,13.7,11,13.7
"102",2163,"PLI",2,5.65,10.65,5.7,10.9
"103",2205,"PLI",1,8.8,10,8.8,10
"104",2251,"PLI",1,6.7,9.2,6.7,9.2
"105",2311,"PLI",1,7.7,11.8,7.7,11.8
"106",2312,"PLI",1,9.4,11.9,9.4,11.9
"107",2380,"PLI",1,4.9,7.2,4.9,7.2
