OBJECTID,Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,1589,3,2700,0.036772083,0.286235064,0.249462981,0.136749105,0.107691832,0.410247315,0.087240167,0.246436085
2,1590,3,2700,0.349148989,0.551708043,0.202559054,0.449867477,0.082698194,1.349602431,0.4487454,0.531115514
3,1602,3,2700,0.265809327,0.334890336,0.069081008,0.289050351,0.032414824,0.867151052,0.266451389,0.321202546
4,1612,3,2700,0.588736236,0.678111851,0.089375615,0.637624522,0.036967844,1.912873566,0.646025479,0.671694577
5,1615,3,2700,0.174210727,0.300933033,0.126722306,0.240181024,0.051865587,0.720543072,0.245399311,0.289826289
6,1625,3,2700,0.193711624,0.282071263,0.088359639,0.247591689,0.038593098,0.742775068,0.266992182,0.279055446
7,1627,4,3600,-0.019599624,0.116736338,0.136335962,0.052248173,0.055177852,0.208992692,0.055927989,0.109779716
8,1631,3,2700,0.1556779,0.32591942,0.17024152,0.257126098,0.073236145,0.771378294,0.289780974,0.31869173
9,1634,4,3600,0.278548717,0.48379311,0.205244392,0.386201002,0.081040205,1.544804007,0.39123109,0.471182999
10,1635,4,3600,0.210034326,0.428423494,0.218389168,0.325854901,0.094272549,1.303419605,0.332480893,0.422415757
11,1637,3,2700,0.419838637,0.430446804,0.010608166,0.42577527,0.004422191,1.277325809,0.427040368,0.429765517
12,1640,3,2700,0.154636636,0.210616633,0.055979997,0.178049564,0.023752736,0.534148693,0.168895423,0.202272391
13,1647,4,3600,0.388259411,0.462238461,0.07397905,0.424339987,0.034663957,1.697359949,0.423431039,0.460239741
14,1648,3,2700,0.543232799,0.590655863,0.047423065,0.561243435,0.020972004,1.683730304,0.549841642,0.582493019
15,1649,4,3600,0.242084593,0.393300653,0.15121606,0.334911793,0.062239353,1.339647174,0.352130964,0.392325643
16,1651,3,2700,0.093273588,0.145514011,0.052240424,0.125722639,0.023129031,0.377167918,0.138380319,0.144087273
17,1662,4,3600,0.042972121,0.197792783,0.154820662,0.094513602,0.060570849,0.378054406,0.068644751,0.159836484
18,1663,3,2700,0.068103358,0.127534926,0.059431568,0.105604768,0.02664427,0.316814303,0.121176019,0.126263145
19,1665,2,1800,0.568023205,0.605547905,0.0375247,0.586785555,0.01876235,1.17357111,0.586785555,0.601795435
20,1666,4,3600,0.261372775,0.529591322,0.268218547,0.417919241,0.11369436,1.671676964,0.440356433,0.527669591
21,1672,2,1800,0.230818942,0.311334699,0.080515757,0.271076821,0.040257879,0.542153642,0.271076821,0.303283124
22,1674,3,2700,0.52873987,0.659915805,0.131175935,0.588266393,0.05423409,1.764799178,0.576143503,0.643161345
23,1675,3,2700,0.304903537,0.351485699,0.046582162,0.320917447,0.02162323,0.962752342,0.306363106,0.342461181
24,1678,3,2700,0.541304588,0.684831619,0.143527031,0.631066402,0.063884366,1.893199205,0.667062998,0.681277895
25,1679,2,1800,0.06239628,0.100564048,0.038167767,0.081480164,0.019083884,0.162960328,0.081480164,0.096747271
26,1685,3,2700,0.398937553,0.471851319,0.072913766,0.434249202,0.029810949,1.302747607,0.431958735,0.463872802
27,1686,4,3600,0.575883687,0.646010816,0.07012713,0.604761526,0.0281111,2.419046104,0.598575801,0.636750615
28,1701,3,2700,0.100121871,0.134089038,0.033967167,0.113716451,0.014671927,0.341149352,0.106938444,0.128658919
29,1702,2,1800,0.24310194,0.275066316,0.031964377,0.259084128,0.015982188,0.518168256,0.259084128,0.271869878
30,1705,2,1800,0.424782097,0.529195964,0.104413867,0.476989031,0.052206933,0.953978062,0.476989031,0.518754578
31,1706,3,2700,0.324730814,0.360599667,0.035868853,0.346515298,0.0156229,1.039545894,0.354215413,0.359322816
32,1707,2,1800,0.561070561,0.619400561,0.058329999,0.590235561,0.029165,1.180471122,0.590235561,0.613567561
33,1708,3,2700,0.557844877,0.704588652,0.146743774,0.647331595,0.064096267,1.941994786,0.679561257,0.699583173
34,1723,4,3600,0.42004326,0.490466297,0.070423037,0.459813245,0.027023919,1.839252979,0.464371711,0.486653599
35,1724,4,3600,0.088263698,0.24684675,0.158583052,0.171924198,0.058948976,0.687696792,0.176293172,0.233178526
36,1738,2,1800,0.305176705,0.329585016,0.024408311,0.31738086,0.012204155,0.634761721,0.31738086,0.327144185
37,1739,3,2700,0.20636408,0.313533366,0.107169285,0.247820581,0.046993542,0.743461743,0.223564297,0.295539552
38,1754,3,2700,0.410855502,0.464900076,0.054044574,0.431767176,0.023695609,1.295301527,0.419545949,0.455829251
39,1757,4,3600,0.110397257,0.239445746,0.129048489,0.182983184,0.047104717,0.731932737,0.191044867,0.228529844
40,1759,4,3600,0.093122795,0.141737983,0.048615187,0.123505622,0.019134929,0.494022489,0.129580855,0.140557694
41,1760,4,3600,0.04783931,0.110482335,0.062643025,0.067538789,0.02518199,0.270155154,0.055916755,0.095352671
42,1761,3,2700,0.570376813,0.737393677,0.167016864,0.648437063,0.068618298,1.945311189,0.637540698,0.717423081
43,1770,3,2700,0.183421612,0.367301643,0.183880031,0.290752709,0.078160615,0.872258127,0.321534872,0.358148289
44,1771,3,2700,0.225833073,0.250406504,0.02457343,0.237830187,0.010040418,0.713490561,0.237250984,0.2477754
45,1772,3,2700,0.299042851,0.349142224,0.050099373,0.326631685,0.020765815,0.979895055,0.331709981,0.345655775
46,1789,3,2700,0.084183611,0.136903793,0.052720182,0.115586889,0.022673856,0.346760668,0.125673264,0.134657687
47,1791,3,2700,0.220165327,0.274104178,0.053938851,0.249734784,0.022325328,0.749204352,0.254934847,0.270270312
48,1792,3,2700,0.140546903,0.542666674,0.402119771,0.384951229,0.175235649,1.154853687,0.47164011,0.528461361
49,1793,2,1800,0.274031878,0.319227278,0.045195401,0.296629578,0.0225977,0.593259156,0.296629578,0.314707738
50,1794,3,2700,0.58050102,0.681581259,0.101080239,0.638552686,0.042611216,1.915658057,0.653575778,0.675980163
51,1795,2,1800,0.165722385,0.209726155,0.04400377,0.18772427,0.022001885,0.37544854,0.18772427,0.205325778
52,1796,2,1800,0.221323505,0.237608209,0.016284704,0.229465857,0.008142352,0.458931714,0.229465857,0.235979739
53,1798,3,2700,0.301423401,0.394792259,0.093368858,0.361850023,0.042786131,1.08555007,0.38933441,0.393700689
54,1805,3,2700,0.268091768,0.398868918,0.13077715,0.328925739,0.053776693,0.986777216,0.31981653,0.383058441
55,1816,4,3600,0.107352339,0.288646221,0.181293882,0.198196048,0.089874383,0.792784192,0.198392816,0.288298607
56,1825,3,2700,0.113252811,0.19721061,0.083957799,0.158309676,0.034550925,0.474929027,0.164465606,0.190661609
57,1831,4,3600,-0.02087637,0.012180488,0.033056858,-0.005940919,0.014778711,-0.023763677,-0.007533897,0.010043748
58,1833,2,1800,0.317409545,0.348131984,0.030722439,0.332770765,0.01536122,0.66554153,0.332770765,0.345059741
59,1835,3,2700,0.453542322,0.574994087,0.121451765,0.5053868,0.051148613,1.516160399,0.48762399,0.557520068
60,1836,2,1800,-0.023232797,-0.000575191,0.022657606,-0.011903994,0.011328803,-0.023807989,-0.011903994,-0.002840952
61,1840,3,2700,0.097868919,0.24755913,0.149690211,0.158632949,0.064273478,0.475898847,0.130470797,0.224141464
62,1844,3,2700,0.240436032,0.267459244,0.027023211,0.253535981,0.01104753,0.760607943,0.252712667,0.264509928
63,1845,3,2700,0.351914823,0.38513124,0.033216417,0.369700213,0.013662354,1.10910064,0.372054577,0.382515907
64,1876,4,3600,0.135116965,0.466147065,0.331030101,0.25985004,0.124861702,1.03940016,0.219068065,0.398452879
65,1889,3,2700,0.417012334,0.551822305,0.134809971,0.473463227,0.057174636,1.420389682,0.451555043,0.531768852
66,1916,3,2700,0.078003362,0.168248281,0.090244919,0.128168593,0.037526213,0.384505779,0.138254136,0.162249452
67,1931,3,2700,0.579476595,0.631254435,0.05177784,0.605154276,0.021140325,1.815462828,0.604731798,0.625949907
