"","Card","SpeciesAll","total_count","total_tph","total_x0","total_x10","total_x30","total_x130","FDI_count","FDI_tph","FDI_x0","FDI_x10","FDI_x30","FDI_x130","PLI_count","PLI_tph","PLI_x0","PLI_x10","PLI_x30","PLI_x130","NonCon_count","NonCon_x0","NonCon_x10","NonCon_x30","NonCon_x130","SX_count","SX_x0","SX_x10","SX_x30","SX_x130"
"1",-1291634974,"NonCon, PLI",93,18600,0,0,43,50,0,0,0,0,0,0,66,13200,0,0,19,47,27,0,0,24,3,0,0,0,0,0
"2",0,"FDI",4,800,2,2,0,0,4,800,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"PLI",15,3000,1,4,5,5,0,0,0,0,0,0,15,3000,1,4,5,5,0,0,0,0,0,0,0,0,0,0
"4",13,"PLI, SX",18,3600,1,3,7,7,0,0,0,0,0,0,17,3400,0,3,7,7,0,0,0,0,0,1,1,0,0,0
"5",20,"PLI, SX",306,61200,3,60,238,5,0,0,0,0,0,0,296,59200,2,55,235,4,0,0,0,0,0,10,1,5,3,1
"6",141,"FDI, NonCon, PLI",52,10400,15,31,5,1,46,9200,15,30,1,0,2,400,0,1,1,0,4,0,0,3,1,0,0,0,0,0
"7",158,"FDI, NonCon, SX",154,30800,21,58,55,20,12,2400,4,5,2,1,0,0,0,0,0,0,15,0,0,4,11,127,17,53,49,8
"8",159,"FDI",183,36600,101,72,10,0,183,36600,101,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",161,"NonCon, SX",20,4000,1,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,15,2,2,1,0,0,1
"10",162,"FDI, NonCon, PLI, SX",124,24800,1,2,109,12,1,200,0,1,0,0,6,1200,1,0,4,1,116,0,0,105,11,1,0,1,0,0
"11",163,"NonCon, PLI",3,600,0,2,1,0,0,0,0,0,0,0,1,200,0,1,0,0,2,0,1,1,0,0,0,0,0,0
"12",165,"FDI, PLI",136,27200,44,75,14,3,1,200,1,0,0,0,135,27000,43,75,14,3,0,0,0,0,0,0,0,0,0,0
"13",193,"NonCon, PLI",22,4400,0,1,21,0,0,0,0,0,0,0,21,4200,0,1,20,0,1,0,0,1,0,0,0,0,0,0
"14",194,"FDI, NonCon, PLI",137,27400,2,33,82,20,1,200,1,0,0,0,3,600,0,0,2,1,133,1,33,80,19,0,0,0,0,0
"15",197,"PLI",150,30000,23,62,65,0,0,0,0,0,0,0,150,30000,23,62,65,0,0,0,0,0,0,0,0,0,0,0
"16",227,"NonCon, PLI",517,103400,93,292,132,0,0,0,0,0,0,0,486,97200,91,272,123,0,31,2,20,9,0,0,0,0,0,0
"17",229,"NonCon, PLI, SX",141,28200,31,27,52,31,0,0,0,0,0,0,9,1800,1,7,1,0,103,9,16,47,31,29,21,4,4,0
"18",231,"NonCon, PLI",27,5400,0,7,19,1,0,0,0,0,0,0,5,1000,0,5,0,0,22,0,2,19,1,0,0,0,0,0
"19",232,"FDI, NonCon, PLI",36,7200,2,21,12,1,22,4400,2,20,0,0,12,2400,0,1,10,1,2,0,0,2,0,0,0,0,0,0
"20",234,"NonCon, PLI",4,800,0,0,4,0,0,0,0,0,0,0,1,200,0,0,1,0,3,0,0,3,0,0,0,0,0,0
"21",235,"FDI, NonCon",29,5800,1,4,11,13,1,200,0,1,0,0,0,0,0,0,0,0,28,1,3,11,13,0,0,0,0,0
"22",270,"PLI",2,400,0,1,0,1,0,0,0,0,0,0,2,400,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"23",276,"FDI, PLI",73,14600,36,31,6,0,55,11000,36,19,0,0,18,3600,0,12,6,0,0,0,0,0,0,0,0,0,0,0
"24",279,"NonCon",3,600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
"25",281,"NonCon, PLI",18,3600,0,3,6,9,0,0,0,0,0,0,6,1200,0,3,3,0,12,0,0,3,9,0,0,0,0,0
"26",282,"NonCon, PLI",148,29600,1,30,103,14,0,0,0,0,0,0,2,400,0,1,1,0,146,1,29,102,14,0,0,0,0,0
"27",284,"FDI, PLI",11,2200,2,5,3,1,3,600,2,0,0,1,8,1600,0,5,3,0,0,0,0,0,0,0,0,0,0,0
"28",315,"NonCon, PLI",25,5000,2,8,15,0,0,0,0,0,0,0,21,4200,2,8,11,0,4,0,0,4,0,0,0,0,0,0
"29",318,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",319,"NonCon, PLI",43,8600,0,2,38,3,0,0,0,0,0,0,2,400,0,2,0,0,41,0,0,38,3,0,0,0,0,0
"31",320,"FDI, PLI",62,12400,4,8,50,0,9,1800,4,5,0,0,53,10600,0,3,50,0,0,0,0,0,0,0,0,0,0,0
"32",324,"PLI",15,3000,2,5,7,1,0,0,0,0,0,0,15,3000,2,5,7,1,0,0,0,0,0,0,0,0,0,0
"33",327,"FDI, PLI",11,2200,5,2,2,2,6,1200,1,2,2,1,5,1000,4,0,0,1,0,0,0,0,0,0,0,0,0,0
"34",329,"NR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",330,"FDI, NonCon, PLI",7,1400,4,0,3,0,3,600,3,0,0,0,1,200,1,0,0,0,3,0,0,3,0,0,0,0,0,0
"36",331,"FDI, NonCon",54,10800,13,34,6,1,53,10600,13,34,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
