"","ID1","ID2","Year","MAT","MWMT","MAP","NFFD","PAS","AHM","SHM","Tave_sp","Tave_sm","Tmax_sp","Tmax_sm","Tmin_sp","Tmin_sm","NFFD_sp","PAS_sp","PAS_wt","PPT_sm"
"1",13,2009,1,2.4,11.7,535,127,311,23.2,72.7,2,10.1,7.7,16.9,-3.8,3.4,16,50,98,68
"2",20,2009,1,2.3,11.6,545,126,325,22.5,71.6,1.8,10,7.5,16.7,-3.9,3.3,16,53,102,70
"3",158,2009,1,3.3,13.3,342,137,149,38.9,91.8,3.3,11.7,9.6,19.3,-3.1,4.1,21,20,54,57
"4",159,2009,1,3,12.8,355,134,166,36.7,87.8,2.8,11.3,9,18.6,-3.3,3.9,19,25,56,58
"5",408,2009,1,3.4,13.4,339,136,142,39.5,90.5,3.5,11.9,10,19.6,-3.1,4.1,21,18,52,60
"6",454,2009,1,3.4,13.5,335,136,141,40,91.6,3.5,11.9,10,19.7,-3,4.2,21,18,52,59
"7",801,2009,1,3.5,13.9,303,138,121,44.7,98.6,3.8,12.4,10.5,20.4,-2.9,4.4,22,14,46,57
"8",844,2009,1,3.5,13.9,310,138,126,43.5,96.9,3.7,12.3,10.4,20.3,-3,4.4,22,15,46,56
"9",845,2009,1,3.5,13.8,310,137,126,43.4,96.3,3.7,12.3,10.3,20.3,-3,4.3,22,16,46,57
"10",846,2009,1,3.5,13.9,304,138,122,44.4,97.6,3.7,12.4,10.4,20.4,-3,4.3,22,15,45,57
"11",847,2009,1,3.5,13.9,296,138,118,45.7,100.2,3.8,12.4,10.5,20.4,-3,4.4,22,14,44,56
"12",851,2009,1,3.6,14,309,138,124,44,97.8,3.8,12.4,10.5,20.4,-2.9,4.4,22,14,47,58
"13",852,2009,1,3.6,13.9,314,138,126,43.1,95.6,3.8,12.4,10.5,20.4,-3,4.4,22,15,48,60
"14",892,2009,1,3.4,13.9,306,137,124,43.9,97,3.7,12.3,10.4,20.3,-3,4.3,21,15,45,57
"15",893,2009,1,3.5,13.9,306,137,124,44,97,3.7,12.3,10.4,20.3,-3,4.3,22,15,45,57
"16",894,2009,1,3.5,13.9,299,138,119,45.3,98.4,3.8,12.4,10.5,20.5,-3,4.4,22,14,43,56
"17",895,2009,1,3.7,14.2,287,140,110,47.7,103.5,4,12.7,10.8,20.8,-2.8,4.5,23,12,42,55
"18",899,2009,1,3.6,14,305,138,122,44.5,98.7,3.8,12.5,10.6,20.5,-2.9,4.4,22,14,46,58
"19",933,2009,1,3.6,14.1,296,139,115,46,100.2,3.9,12.6,10.8,20.7,-2.9,4.5,22,13,44,57
"20",974,2009,1,3.6,14.2,295,139,115,46.2,100.3,3.9,12.6,10.8,20.7,-2.9,4.5,22,13,44,58
