"","Card","SpeciesAll","total_count","total_tph","total_x0","total_x10","total_x30","total_x130","FDI_count","FDI_tph","FDI_x0","FDI_x10","FDI_x30","FDI_x130","PLI_count","PLI_tph","PLI_x0","PLI_x10","PLI_x30","PLI_x130","AT_count","AT_x0","AT_x10","AT_x30","AT_x130","SX_count","SX_x0","SX_x10","SX_x30","SX_x130","SampleSite_ID","UNIQUE_ID","Plot_ID","Contract","Zone","Easting","Northing","Coordinate_source","Latitude","Longitude","Aspect","Elevation","Slope","TWI","BEC_Zone","BEC_Subzone","BEC_Variant","Solar_Radiation","PARENT_SOILS","SOILNAME_1","TEXTURE_1","PERCENT_1","DRAIN_1","COFRAG_1","SOILNAME_2","TEXTURE_2","PERCENT_2","DRAIN_2","COFRAG_2","SOILNAME_3","TEXTURE_3","PERCENT_3","DRAIN_3","COFRAG_3","FIRE_NUMBER_1","FIRE_YEAR_1","BURN_SEVERITY_RATING_1","FIRE_DATE_1","PATCH_SIZE_1","CROWN_CLOSURE_1","SPECIES_CD_1_1","SPECIES_PCT_1_1","PROJ_AGE_1_1","PROJ_HEIGHT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","PROJ_AGE_2_1","PROJ_HEIGHT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","SPECIES_CD_5_1","SPECIES_PCT_5_1","SPECIES_CD_6_1","SPECIES_PCT_6_1","DISTURBANCE_TYPE_1","DISTURBANCE_DATE_1","HARVEST_DATE_1","FIRE_NUMBER_2","FIRE_YEAR_2","BURN_SEVERITY_RATING_2","FIRE_DATE_2","PATCH_SIZE_2","CROWN_CLOSURE_2","SPECIES_CD_1_2","SPECIES_PCT_1_2","PROJ_AGE_1_2","PROJ_HEIGHT_1_2","SPECIES_CD_2_2","SPECIES_PCT_2_2","PROJ_AGE_2_2","PROJ_HEIGHT_2_2","SPECIES_CD_3_2","SPECIES_PCT_3_2","SPECIES_CD_4_2","SPECIES_PCT_4_2","SPECIES_CD_5_2","SPECIES_PCT_5_2","SPECIES_CD_6_2","SPECIES_PCT_6_2","DISTURBANCE_TYPE_2","DISTURBANCE_DATE_2","HARVEST_DATE_2","DISTANCE_TO_PERIMETER","Beers_aspect","Azimuth","MEAN","BARC.x"
"1",-1291634974,"AT, PLI",93,18600,0,0,43,50,0,0,0,0,0,0,66,13200,0,0,19,47,27,0,0,24,3,0,0,0,0,0,-1291634974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,"FDI",4,800,2,2,0,0,4,800,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"PLI",15,3000,1,4,5,5,0,0,0,0,0,0,15,3000,1,4,5,5,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,"PLI, SX",18,3600,1,3,7,7,0,0,0,0,0,0,17,3400,0,3,7,7,0,0,0,0,0,1,1,0,0,0,13,1,13,"Toosey",10,485004,5718397,"Field UTM",51.61640228,-123.2165934,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,62.46410946,0.667424849024765,"W",0.445652902,"3"
"5",13,"PLI, SX",18,3600,1,3,7,7,0,0,0,0,0,0,17,3400,0,3,7,7,0,0,0,0,0,1,1,0,0,0,13,2,13,"Elhdaqox",10,485007,5718403,"Field UTM",51.61645631,-123.2165503,282.2647705,1468,11.76860237,6.051758289,"SBPS","xc",NA,1049990.114,"TILL ","KLOAKUT","L",100,"MW",35,"","-",NA,"",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,1,"SX",60,7,0.300000012,"PLI",40,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","1997-07-01","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,58.3400901,0.667424849024765,"W",0.445652902,"3"
"6",20,"PLI, SX",306,61200,3,60,238,5,0,0,0,0,0,0,296,59200,2,55,235,4,0,0,0,0,0,10,1,5,3,1,20,3,20,"",10,486052,5719359,"Field UTM",51.62507904,-123.2014951,292.4569397,1492,20.2885437,7.992043972,"SBPS","xc",NA,1008497.89,"TILL ","KLOAKUT","L",70,"MW",35,"WILLAN LAKE","SL",30,"W",NA,"","-",NA,"",NA,"C20442",2009,"Unknown","2009-08-01",167.5119125,60,"PLI",100,82,13.80000019,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,108.5694735,0.839550595633455,"W",0.394513346,"3"
"7",141,"AT, FDI, PLI",52,10400,15,31,5,1,46,9200,15,30,1,0,2,400,0,1,1,0,4,0,0,3,1,0,0,0,0,0,141,4,141,"",10,499771,5735835,"Field UTM",51.77339453,-123.003319,266.1859131,1195,3.758324146,7.193220139,"IDF","dk",4,1037142.381,"TILL ","TYEE","SL",100,"MW",20,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",312.3172318,20,"PLI",55,67,12.30000019,"SX",25,89,12.39999962,"FDI",19,"AT",1,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,106.2081729,0.419240084525671,"W",0.117126539,"2"
"8",158,"AT, FDI, SX",154,30800,21,58,55,20,12,2400,4,5,2,1,0,0,0,0,0,0,15,0,0,4,11,127,17,53,49,8,158,5,158,"",10,455793,5738613,"Field UTM",51.79662502,-123.6410447,263.6598206,1194,4.527692795,9.779569626,"IDF","dk",4,1037163.48,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50418",2009,"Unknown","2009-07-30",67735.53928,50,"PLI",44.5,109,14.5,"AT",44.20000076,NA,NA,"FDI",11.30000019,"",NA,NA,NA,NA,NA,"IBM","1985-01-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,1484.608516,0.383924614819174,"W",0.344252199,"3"
"9",159,"FDI",183,36600,101,72,10,0,183,36600,101,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,6,159,"",10,456801,5738565,"Field UTM",51.79627224,-123.6264227,175.3999023,1285,21.82028961,5.434353352,"IDF","dk",4,1155886.88,"TILL ","TYEE","SL",60,"MW",NA,"TYEE","SIL",40,"MW",15,"","-",NA,"",NA,"C50418",2009,"Unknown","2009-07-30",67735.53928,60,"FDI",87.5,186,21.39999962,"PLI",12.5,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,893.1339882,0.193968606822308,"S",0.067352677,"1"
"10",161,"AT, SX",20,4000,1,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,15,2,2,1,0,0,1,161,7,161,"",10,480804,5737551,"Field UTM",51.78849427,-123.2783096,74.74488068,1198,2.850438595,14.85990143,"SBPS","xc",NA,1030575.813,"TILL ","SHEMWELL","SL",100,"W",28,"","-",NA,"",NA,"","-",NA,"",NA,"C50647",2017,"Low","2017-07-07",13.36368721,32,"PLI",78,94,12.89999962,"AT",16,123,14.19999981,"SX",6,"",NA,NA,NA,NA,NA,"IBM","2003-08-01","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,46.21649103,1.73069918461786,"E",0.185093217,"2"
