Map Page Number,SampleSite_ID,Latitude,Longitude
63,5,51.62459051,-124.040916
63,6,51.63429745,-124.0838985
63,8,51.63380808,-124.0549765
63,9,51.63356065,-124.0405157
63,14,51.64326766,-124.0835069
63,15,51.64302384,-124.0690429
63,16,51.64277819,-124.054579
63,17,51.64253071,-124.0401153
63,21,51.65272002,-124.1120497
63,23,51.65223779,-124.0831152
63,25,51.65174822,-124.0541813
63,28,51.6507471,-123.9963156
63,29,51.65049223,-123.9818496
64,30,51.64971664,-123.9384526
64,32,51.64919041,-123.9095221
64,33,51.64892455,-123.8950572
64,34,51.64865686,-123.8805923
63,38,51.66120784,-124.0827233
63,39,51.66096392,-124.0682533
63,40,51.66071818,-124.0537835
63,42,51.66022118,-124.0248444
63,43,51.65996993,-124.0103751
63,44,51.65971685,-123.995906
63,45,51.65946194,-123.981437
64,46,51.65920519,-123.9669682
64,47,51.65842395,-123.9235629
64,48,51.65789395,-123.8946268
63,54,51.67041994,-124.0968043
63,55,51.67017781,-124.0823312
63,56,51.66993385,-124.0678583
63,58,51.66944042,-124.038913
63,59,51.66893966,-124.0099683
64,62,51.66791614,-123.9520809
63,65,51.67938988,-124.096415
63,70,51.67816066,-124.0240365
63,72,51.67765614,-123.9950862
64,73,51.67714427,-123.9661366
64,74,51.67688559,-123.9516621
63,78,51.68787347,-124.0670677
63,79,51.68687889,-124.0091541
63,88,51.69684316,-124.0666722
63,97,51.70430932,-123.9793715
64,99,51.70379348,-123.9504045
65,106,51.70808078,-123.7037439
58,107,51.72588392,-124.1959064
53,225,51.81451205,-123.6400169
53,226,51.81421209,-123.625499
53,265,51.82377724,-123.6540537
53,266,51.82347906,-123.6395326
53,267,51.82317904,-123.6250118
53,313,51.83274423,-123.6535723
53,357,51.84200761,-123.6676178
53,358,51.8411127,-123.6240367
53,406,51.8509745,-123.6671389
53,407,51.85007942,-123.6235488
53,408,51.84977738,-123.6090192
53,453,51.86023606,-123.6811932
53,454,51.85934633,-123.6375936
53,456,51.85874397,-123.6085282
52,476,51.87419429,-123.942404
52,477,51.87393264,-123.9278643
53,495,51.86890808,-123.6661805
53,496,51.86771048,-123.608037
52,516,51.88290031,-123.9274385
52,517,51.88263677,-123.912896
53,531,51.87846262,-123.6947799
52,555,51.89133887,-123.8979217
52,556,51.8910716,-123.8833765
52,593,51.89976979,-123.8683934
53,604,51.89639598,-123.6938323
53,605,51.89610285,-123.6792868
52,633,51.90980287,-123.92616
52,638,51.90819304,-123.8388538
53,647,51.90506936,-123.6788097
53,649,51.90447746,-123.6497132
52,683,51.9185065,-123.9111791
52,684,51.91824091,-123.8966248
52,686,51.91743307,-123.852963
52,687,51.9171601,-123.8384094
53,698,51.9140358,-123.6783324
53,699,51.91374072,-123.6637811
45,736,51.92773755,-123.9253069
45,740,51.92640011,-123.8525213
46,742,51.92585222,-123.8234084
45,783,51.93670478,-123.92488
45,787,51.93536707,-123.8520795
46,789,51.93481908,-123.8229606
45,832,51.945934,-123.9390166
45,834,51.94514228,-123.8953263
45,835,51.94487469,-123.8807632
46,838,51.94378586,-123.8225126
45,882,51.95384162,-123.880327
45,883,51.95357213,-123.8657611
45,884,51.95330079,-123.8511954
46,887,51.95247571,-123.8074993
45,919,51.96412852,-123.9527378
45,920,51.96280848,-123.8798906
45,921,51.96253893,-123.8653217
45,923,51.9619943,-123.8361845
46,924,51.96144229,-123.807048
46,925,51.96116352,-123.79248
46,926,51.9608829,-123.7779122
45,961,51.97123422,-123.8503105
46,963,51.97068579,-123.8211676
46,964,51.97040881,-123.8065964
45,996,51.98127574,-123.9081677
45,997,51.98100978,-123.8935925
45,998,51.98074198,-123.8790174
46,1002,51.97937525,-123.8061447
46,1006,51.97824864,-123.74785
45,1029,51.98889396,-123.8348474
46,1032,51.98806269,-123.7911159
46,1034,51.98749927,-123.7619625
45,1056,51.99840543,-123.8635625
46,1059,51.99758507,-123.8198209
46,1063,51.9964654,-123.7615014
46,1065,51.99589449,-123.7323428
45,1087,52.00737188,-123.8631223
45,1088,52.00710022,-123.8485385
46,1093,52.00571421,-123.7756227
46,1094,52.00543147,-123.7610401
46,1096,52.00486044,-123.7318755
46,1097,52.00457216,-123.7172935
46,1098,52.00428203,-123.7027117
45,1123,52.01606654,-123.8480951
45,1124,52.01579298,-123.8335086
46,1125,52.01551757,-123.8189222
38,1160,52.0242064,-123.8038834
38,1199,52.03344979,-123.8180228
38,1200,52.03317242,-123.8034306
38,1201,52.03175787,-123.7304726
38,1203,52.03117911,-123.7012907
37,1232,52.04296509,-123.8467637
38,1235,52.04213837,-123.8029776
38,1237,52.04129501,-123.7591932
38,1239,52.04072353,-123.7300045
37,1269,52.05193113,-123.8463195
37,1270,52.05165735,-123.8317209
38,1271,52.05138173,-123.8171226
38,1272,52.05110425,-123.8025244
38,1273,52.05082492,-123.7879264
38,1276,52.04968913,-123.7295363
38,1316,52.06007006,-123.802071
38,1317,52.05979068,-123.78747
38,1319,52.05922636,-123.7582686
38,1320,52.05894144,-123.7436681
38,1321,52.05865466,-123.7290679
38,1322,52.05836603,-123.7144678
38,1355,52.06875636,-123.7870134
38,1356,52.06733143,-123.7139962
37,1378,52.07882884,-123.8449859
