Map Page Number,SampleSite_ID,Latitude,Longitude
1,2733,52.6592901,-124.2158824
1,2734,52.66802628,-124.2006984
1,2735,52.67744135,-124.2299495
1,2737,52.68640439,-124.229579
1,2738,52.68617925,-124.2147619
2,2633,52.54573611,-124.4274818
2,2682,52.57202302,-124.382161
3,2636,52.54450746,-124.3388669
3,2638,52.54343216,-124.265025
3,2684,52.57160948,-124.3526044
3,2685,52.57097513,-124.3082707
4,2642,52.54161444,-124.146886
4,2643,52.54114131,-124.1173528
4,2644,52.54066071,-124.0878203
4,2659,52.54986542,-124.1021905
4,2660,52.54962413,-124.0874213
4,2672,52.56069219,-124.2199789
4,2673,52.5590683,-124.1165669
4,2687,52.56803171,-124.1161737
4,2688,52.56779219,-124.1013981
4,2698,52.5781648,-124.1896761
4,2708,52.58595835,-124.1153868
4,2709,52.58571874,-124.1006051
4,2710,52.58547725,-124.0858235
4,2715,52.59492158,-124.1149931
5,2646,52.54017262,-124.0582885
5,2647,52.53967705,-124.0287573
5,2662,52.54913595,-124.0578833
5,2664,52.54864028,-124.028346
5,2666,52.54813714,-123.9988093
5,2676,52.55834429,-124.0722499
5,2679,52.55760345,-124.0279344
5,2690,52.56730755,-124.0718475
5,2693,52.56656656,-124.0275227
5,2694,52.56631582,-124.0127482
5,2702,52.57627075,-124.0714449
5,2703,52.57602558,-124.0566667
5,2706,52.57527882,-124.0123332
5,2707,52.57502616,-123.9975558
5,2712,52.58498867,-124.0562608
5,2713,52.58424177,-124.0119181
5,2718,52.59370456,-124.0410706
5,2719,52.59320465,-124.0115028
5,2720,52.59295189,-123.9967192
6,2098,52.45527835,-124.3718021
6,2200,52.47361694,-124.4006129
6,2202,52.47320805,-124.3711237
6,2325,52.49154657,-124.3999462
6,2397,52.50111099,-124.4438751
6,2400,52.50030767,-124.3848588
6,2401,52.50010216,-124.3701051
6,2470,52.50967777,-124.4140361
6,2471,52.50947597,-124.399279
6,2472,52.50927229,-124.3845221
6,2473,52.50906675,-124.3697653
6,2528,52.5190405,-124.4432261
6,2529,52.51864242,-124.4137054
6,2531,52.51823686,-124.3841852
6,2532,52.51803127,-124.3694254
6,2577,52.52760701,-124.4133745
6,2578,52.52740512,-124.3986113
6,2579,52.52720136,-124.3838482
6,2580,52.52699574,-124.3690853
6,2607,52.5367716,-124.4278099
6,2608,52.53657154,-124.4130435
7,2034,52.4458973,-124.3426709
7,2035,52.44568645,-124.327936
7,2037,52.44525915,-124.2984667
7,2039,52.44482438,-124.268998
7,2101,52.4544385,-124.3128501
7,2151,52.46403603,-124.3567217
7,2152,52.46382696,-124.3419805
7,2155,52.46297201,-124.2830174
7,2205,52.47236787,-124.3121472
7,2208,52.47127564,-124.2384298
7,2265,52.48196553,-124.3560369
7,2266,52.48175638,-124.3412896
7,2268,52.48111771,-124.2970486
7,2269,52.48024001,-124.2380627
7,2328,52.49093019,-124.3556943
7,2332,52.4894266,-124.2524449
7,2404,52.49926147,-124.3110917
7,2405,52.49904663,-124.2963387
7,2406,52.49839089,-124.2520806
7,2474,52.50885934,-124.3550087
7,2476,52.50822589,-124.3107396
7,2477,52.508011,-124.2959835
7,2479,52.50735513,-124.2517162
7,2533,52.51782382,-124.3546656
7,2536,52.51719024,-124.3103873
7,2540,52.51631931,-124.2513517
7,2582,52.52636764,-124.3247973
7,2583,52.52593957,-124.2952727
7,2613,52.53511878,-124.3096824
7,2614,52.53446812,-124.265387
7,2616,52.534025,-124.2358574
8,2041,52.44415824,-124.2247961
8,2042,52.44393246,-124.2100624
8,2043,52.44370482,-124.1953289
8,2046,52.44301069,-124.1511293
8,2048,52.44229977,-124.1069311
8,2107,52.45266924,-124.1949531
8,2108,52.45243968,-124.1802167
8,2111,52.45173982,-124.1360084
8,2113,52.45126391,-124.106537
8,2114,52.45102316,-124.0918015
8,2158,52.4616336,-124.1945772
8,2159,52.46117252,-124.1650984
8,2162,52.46022798,-124.1061427
8,2163,52.45998718,-124.0914041
8,2210,52.47059789,-124.1942011
8,2211,52.47036824,-124.1794586
8,2212,52.47013673,-124.1647162
8,2213,52.46990335,-124.1499739
8,2271,52.47978996,-124.2085707
8,2272,52.47956213,-124.1938249
8,2334,52.48852631,-124.1934485
8,2336,52.48806496,-124.1639513
8,2412,52.49679546,-124.1488172
8,2414,52.4963228,-124.1193147
8,2542,52.51587263,-124.2218348
8,2545,52.5151886,-124.1775605
8,2586,52.52483666,-124.2214639
8,2587,52.52461047,-124.2067026
8,2589,52.52415249,-124.1771805
8,2617,52.53380063,-124.2210929
8,2618,52.5335744,-124.2063285
8,2620,52.53265076,-124.1472726
8,2621,52.53217773,-124.1177455
8,2622,52.53169722,-124.0882192
9,2053,52.44082757,-124.0185392
9,2055,52.44032191,-123.9890766
9,2057,52.43980879,-123.9596147
9,2115,52.45053606,-124.0623311
9,2116,52.44979141,-124.0181267
9,2117,52.44928565,-123.988658
9,2118,52.44902997,-123.9739239
9,2165,52.45949998,-124.0619276
9,2166,52.45799359,-123.973502
9,2218,52.4677189,-124.0173011
9,2219,52.46695716,-123.9730799
9,2278,52.47668256,-124.0168881
9,2279,52.47643046,-124.0021444
9,2341,52.48564615,-124.0164749
9,2415,52.49559982,-124.0750623
9,2418,52.49435749,-124.0013117
9,2419,52.49410342,-123.9865621
9,2420,52.49384748,-123.9718126
9,2421,52.49358968,-123.9570634
9,2484,52.50456349,-124.0746611
9,2485,52.50431871,-124.0599075
9,2487,52.50357316,-124.0156479
9,2490,52.5028108,-123.9713899
9,2491,52.50255295,-123.9566375
9,2549,52.51303558,-124.0447466
9,2550,52.51278701,-124.0299903
9,2551,52.51253658,-124.0152342
9,2592,52.52249066,-124.073858
9,2593,52.52199904,-124.0443388
9,2595,52.52124758,-124.0000613
9,2623,52.53145416,-124.0734563
9,2626,52.53071377,-124.0291685
9,2627,52.53046323,-124.0144062
9,2628,52.53021083,-123.9996441
10,2058,52.43902512,-123.9154232
10,2060,52.43822467,-123.8712333
10,2062,52.4376817,-123.8417743
10,2063,52.43740742,-123.8270451
10,2121,52.4479886,-123.9149892
10,2122,52.44772359,-123.900256
10,2125,52.44637057,-123.8265927
10,2126,52.44609437,-123.8118606
10,2167,52.45747653,-123.9440282
10,2168,52.45721521,-123.9292915
10,2170,52.45668695,-123.8998188
10,2171,52.45588058,-123.8556111
10,2221,52.46591536,-123.9141207
10,2222,52.46565025,-123.8993814
10,2223,52.46538327,-123.8846422
10,2224,52.46511443,-123.8699033
10,2225,52.46484371,-123.8551645
10,2227,52.46429669,-123.8256875
10,2283,52.47540339,-123.9431716
10,2285,52.47487866,-123.9136862
10,2289,52.47380679,-123.8547177
10,2290,52.47325966,-123.8252345
10,2291,52.47298329,-123.8104933
10,2347,52.48410524,-123.9279972
10,2348,52.48384189,-123.9132515
10,2349,52.48357667,-123.8985061
10,2351,52.48304063,-123.8690157
10,2353,52.48249712,-123.839526
10,2354,52.48222256,-123.8247814
10,2424,52.49280506,-123.9128167
10,2425,52.49253979,-123.8980681
10,2427,52.49200364,-123.8685716
10,2429,52.49146002,-123.8390758
10,2430,52.49118541,-123.8243282
10,2495,52.50123565,-123.8828786
10,2497,52.50069565,-123.8533762
10,2498,52.50014819,-123.8238747
10,2499,52.49987166,-123.8091242
11,2066,52.4365734,-123.7828585
11,2068,52.43600806,-123.7534018
11,2069,52.43572259,-123.7386737
11,2070,52.43543526,-123.7239458
11,2128,52.44553638,-123.782397
11,2129,52.44525459,-123.7676655
11,2132,52.44439801,-123.723472
11,2175,52.4544993,-123.7819353
11,2176,52.45393373,-123.7524663
11,2177,52.4533607,-123.7229981
11,2178,52.45248716,-123.6787972
11,2230,52.46346216,-123.7814733
11,2231,52.46318025,-123.7667357
11,2232,52.46144961,-123.6783139
11,2292,52.47214299,-123.7662705
11,2293,52.47185916,-123.75153
11,2294,52.47157346,-123.7367897
11,2356,52.48166785,-123.7952929
11,2357,52.48138769,-123.7805489
11,2358,52.48110567,-123.7658051
11,2360,52.48053603,-123.7363181
11,2361,52.4802484,-123.7215749
11,2362,52.47995892,-123.7068319
11,2363,52.47966756,-123.6920891
11,2434,52.49006829,-123.7653396
11,2435,52.48978434,-123.7505929
11,2500,52.49959325,-123.7943739
11,2501,52.49903085,-123.7648738
11,2503,52.49846097,-123.7353746
11,2504,52.49817324,-123.7206252
11,2505,52.49788363,-123.7058761
11,2506,52.49759216,-123.6911271
11,2507,52.49729882,-123.6763784
12,2179,52.45219225,-123.664064
12,2234,52.46085781,-123.6488415
12,2235,52.46055911,-123.6341057
12,2297,52.47011698,-123.663091
12,2299,52.46922069,-123.6188742
12,2365,52.47907925,-123.6626041
12,2367,52.47848347,-123.6331199
12,2368,52.47818278,-123.6183781
12,2369,52.47788023,-123.6036365
12,2441,52.48714481,-123.6178819
12,2442,52.4868422,-123.6031372
12,2508,52.49700361,-123.6616298
13,2073,52.43058436,-123.4883274
13,2075,52.42994444,-123.4588789
13,2138,52.43890608,-123.45835
13,2140,52.43825858,-123.4288963
13,2180,52.44786767,-123.4578209
13,2183,52.44656494,-123.3989021
13,2240,52.45618142,-123.4278256
13,2241,52.4555262,-123.3983605
13,2300,52.46546764,-123.4420259
13,2443,52.48371339,-123.4557024
13,2445,52.48240961,-123.3967345
13,2509,52.49235145,-123.4404268
13,2510,52.49202638,-123.4256817
13,2553,52.50163588,-123.4546418
13,2554,52.5013126,-123.4398933
14,2081,52.42797994,-123.3705387
14,2082,52.427646,-123.3558161
14,2085,52.42594835,-123.2822067
14,2087,52.42525625,-123.2527646
14,2144,52.43593358,-123.3258153
14,2146,52.43421695,-123.2521929
14,2185,52.44590238,-123.369444
14,2186,52.44556831,-123.3547153
14,2187,52.44489457,-123.3252586
14,2243,52.45486351,-123.3688963
14,2244,52.45452937,-123.3541646
14,2246,52.45351576,-123.3099707
14,2301,52.46415692,-123.3830835
14,2305,52.46281635,-123.3241447
14,2306,52.46213488,-123.2946767
14,2307,52.46179135,-123.279943
14,2308,52.46144595,-123.2652096
14,2371,52.47311799,-123.3825384
