Card,ID,Display Name,Plot ID,Zone,Easting,Northing,Accuracy (m),Elevation (m),Crew leader name,Date ,Slope,Aspect,Photo?,Notes
1628,450959181769,Site,1628,,470255,5795922,10.0,,Shane,"Oct 11, 2023",0,,Yes,No sample tree
1982,442732159188,Site,1982,,52.43691,124.34296,5.0,1257,David Landon,"Sep 14, 2023",15,N,Yes,
1657,713630678610,Site,1657,,468544,5798078,10.0,,Shane,,,W,Yes,
1438,623837056568,Site,1438,,466449,5777107,10.0,,Shane Hink,"Sep 20, 2023",2,NW,Yes,
2042,124432977080,Site,2042,,124.210060,52.443392,5.0,1140,Skip Gregg,"Sep 21, 2023",2,S,Yes,"Plot lands in green Aspen patch , unburned area"
1658,298515456414,Site,1658,,469285,5797954,,,Darclyn,"Oct 10, 2023",7,SW,Yes,
2041,764061037214,Site,2041,,124.224789,52.444164,5.0,1100,Otis Guichon,"Sep 21, 2023",10,SW,Yes,
1791,603509312575,Site,1791,,478551,5802553,,,Darclyn Charleyboy,,12,SW,Yes,
1540,505081847894,Site,1540,,475877,5786695,10.0,,Darclyn Charleyboy,"Sep 22, 2023",,,Yes,"All trees less than 4 cm DBH.     
Sample tree is N/A due to mistletoe"
1596,379196374847,Site,1596,,479620,5792444,10.0,,Shane Hink,"Oct 18, 2023",25,SW,Yes,No sample trees
1644,845840687616,Site,1644,,476102,5796565,10.0,,Darclyn Charleyboy,"Nov 8, 2023",0,,Yes,"No sample tree 
Nothing over 4 cm DBH"
1739,815452346915,Site,1739,,52.38142,124.22742,0.5,1219,David Landon,"Sep 13, 2023",21,S,Yes,Not a typical plot. Located on rock knob.
1678,585555549780,Site,1678,,475596,5798611,10.0,,Darclyn Charleyboy,"Nov 8, 2023",4,W,Yes,
1615,883958963325,Site,1615,,467126,5794626,10.0,,Shane Hink,"Oct 12, 2023",6,NE,Yes,"Nothing over 4 cm 
No sample trees"
1807,219929960850,Site,1807,,,,,,David Landon,"Sep 15, 2023",,,Yes,Plot lands in swamp. Can’t get to it.
2626,946762097697,Site,2626,,124.029172,52.530715,5.0,1240,Skip Gregg,"Sep 26, 2023",10,S,Yes,1/4 of NE quadrant due to high volume #’s in regen
1481,282287940913,Site,1481,,52.21746,124.07275,0.5,1061,David Landon,"Sep 7, 2023",6,SE,Yes,No overstory
1825,723182611917,Site,1825,,473972,5803814,10.0,,Darclyn Charleyboy,"Nov 3, 2023",8,S,Yes,
2212,513160560287,Site,2212,,52.47011,124.16466,5.0,1272,David Landon,"Sep 20, 2023",33,SW,Yes,
1606,435670320856,Site,1606,,478166,5793581,10.0,,Darclyn Charleyboy,"Oct 17, 2023",6,NW,Yes,
1589,888205612844,Site,1589,,465934,5793145,10.0,,Shane,,10,NE,Yes,No sample trees
1625,694503711170,Site,1625,,463108,5796288,10.0,,Darclyn Charleyboy,"Nov 7, 2023",16,,No,
1840,103643119556,Site,1840,,52.40945,124.29984,5.0,1204,David Landon,"Sep 18, 2023",,,Yes,Unburnt. SAt stand.
1805,892814347446,Site,1805,,52.40013,124.28541,5.0,1158,David Landon,"Sep 13, 2023",10,SE,Yes,
1916,193392947007,Site,1916,,473669,5805761,10.0,,Darclyn Charleyboy,"Nov 3, 2023",16,S,Yes,
1579,438937540695,Site,1579,,475049,5790722,,,Darclyn Charleyboy,"Sep 25, 2023",8,NW,No,
1450,710943184604,Site,1450,,472493,5777849,10.0,,Shane Hink,"Aug 28, 2023",5,South,Yes,
1485,756216321664,Site,1485,,52.40734,124.16746,5.0,1117,Dave Landon,"Sep 12, 2023",4,NW,Yes,
1844,751831902257,Site,1844,,52.40809,124.21154,0.5,1087,David Landon,"Sep 12, 2023",5,NW,Yes,
1759,777849002227,Site,1759,,482198,5801523,10.0,,Darclyn Charleyboy,"Nov 6, 2023",15,W,Yes,"Nothing over 4 cm 
No sample tree"
1630,774474199945,Site,1630,,478257,5795579,10.0,,Darclyn,"Oct 23, 2023",0,,Yes,
2107,781307991018,Site,2107,,124.194942,52.452658,5.0,1210,Skip Gregg,"Sep 20, 2023",14,N,Yes,
1663,553608581639,Site,1663,,476543,5797632,10.0,,Darclyn Charleyboy,"Nov 8, 2023",0,,Yes,
1511,153808339669,Site,1511,,53.23539,124.07193,5.0,1116,Skip Gregg,"Sep 8, 2023",0,South,Yes,
1772,512555736452,Site,1772,,52.39015,124.21230,0.5,1107,David Landon,"Sep 12, 2023",2,E,Yes,
1584,537859018320,Site,1584,,475086,5791726,,,Darclyn Charleyboy,"Sep 25, 2023",5,NW,Yes,No trees less than 4 cm DBH
1738,129168002888,Site,1738,,52.38169,124.24203,0.5,1172,David Landon,"Sep 13, 2023",12,SW,Yes,
1581,947986096651,Site,1581,,471087,5791891,10.0,,Darclyn Charleyboy,"Oct 5, 2023",2,N,Yes,All trees under 4 cm DBH
1627,576657901862,Site,1627,,468243,5795822,10.0,,Darclyn Charleyboy,,6,S,Yes,"Nothing over 4 cm 
no sample trees
Heavy rock"
1461,337496457123,Site,1461,,472530,5778859,,,darclyn,"Aug 28, 2023",0,s,Yes,
1591,307300310904,Site,1591,,469418,5793385,10.0,,Darclyn Charleyboy,"Oct 10, 2023",7,N,Yes,
1554,577898803516,Site,1554,,468964,5788981,10.0,,Darclyn Charleyboy,"Oct 4, 2023",0,,Yes,All trees less than 4 cm DBH
1522,416770060964,Site,1522,,123.881369,52.232064,5.0,1030,Otis Guichon,"Sep 12, 2023",3,N,Yes,
1612,397788023261,Site,1612,,463210,5795212,10.0,,Darclyn Charleyboy,"Sep 20, 2023",0,,Yes,
1503,589452146660,Site,1503,,52.22,123.96,5.0,1000,Skip Gregg,"Sep 7, 2023",15,S,Yes,
1479,247408817742,Site,1479,,124.102064,52.217951,5.0,1060,Skip Gregg,"Sep 13, 2023",20,S,Yes,"No trees growing in plot , regen and brush growing around plot . Plot on south side slope"
1701,510364460395,Site,1701,,479381,5799528,,,Darclyn Charleyboy,"Nov 1, 2023",0,,No,Unburnt area
2205,522366084401,Site,2205,,124.312134,52.472391,5.0,1120,Otis Guichon,"Sep 14, 2023",22,S,Yes,
1649,322769371884,Site,1649,,485146,5796000,10.0,,Darclyn Charleyboy,"Oct 19, 2023",0,,Yes,"Nothing over 4 cm DBH 
No sample tree 
Rocky area 
Heavy burn"
1594,358311768535,Site,1594,,477130,5792635,10.0,,Darclyn Charleyboy,"Oct 17, 2023",9,NE,No,No sample trees
2159,954099928365,Site,2159,,124.165107,52.461181,5.0,1320,Skip Gregg,"Sep 20, 2023",25,NW,No,"1/4 plot done due to large # regen , large # of dead over story"
1647,264870591487,Site,1647,,480846,5795967,10.0,,,"Oct 23, 2023",12,W,Yes,
1531,300515901103,Site,1531,,52.24,124.01,5.0,1080,David Landon,"Sep 6, 2023",13,NE,Yes,
1624,802484166909,Site,1624,,486260,5794295,10.0,,Darclyn Charleyboy,"Oct 19, 2023",0,,Yes,"Nothing over 4 cm DBH 
No sample tree"
1514,171694537608,Site,1514,,52.23,123.99,5.0,1050,Dave Landon,"Sep 6, 2023",1,NE,Yes,
2208,996074120102,Site,2208,,124.238437,52.471282,5.0,1130,Otis Guichon,"Sep 25, 2023",1,S,Yes,"Plot is in green stand , no burnt areas"
1502,787187450628,Site,1502,,52.22,123.98,0.5,990,David Landon,"Sep 7, 2023",12,South,Yes,
1609,319535501071,Site,1609,,480791,5793613,10.0,,Shane Hink,"Oct 18, 2023",0,,Yes,Old plantation
1558,211935883824,Site,1558,,474041,5788991,10.0,,Darclyn Charleyboy,"Sep 25, 2023",10,NW,Yes,All trees less than 4 cm DBH
1504,101027980201,Site,1504,,52.22,123.95,5.0,1008,Skip Gregg,"Sep 7, 2023",32,N,Yes,
1527,750582046660,Site,1527,,124.086232,52.244596,5.0,1120,Skip Gregg,"Sep 13, 2023",1,N,Yes,"Counted NW quadrant only , dog hair regen"
1535,830450990032,Site,1535,,467868,5787040,10.0,,Darclyn Charleyboy,,19,E,Yes,
2336,511498629117,Site,2336,9,124.163941,52.488062,5.0,1250,Otis Guichon,"Oct 11, 2023",17,NE,Yes,Only NE quadrant counted due to high volume 0-10cm PLI
1619,880297033127,Site,1619,,479035,5794807,10.0,,Darclyn Charleyboy,"Oct 23, 2023",0,,No,
1559,525628361973,Site,1559,,474962,5788727,10.0,,Darclyn Charleyboy,"Oct 3, 2023",0,N,Yes,All trees less than 4 cm DBH
1675,226088216245,Site,1675,,467191,5798932,10.0,,Shane,"Oct 30, 2023",0,,Yes,"Nothing over 4 cm
No sample tree"
1562,267914570528,Site,1562,,52.27127,124.07034,5.0,1160,Skip Gregg,"Sep 8, 2023",7,E,Yes,
1757,995165227107,Site,1757,,480512,5801476,,,Darclyn Charleyboy,"Nov 6, 2023",0,,Yes,
2155,117855979923,Site,2155,,124.283059,52.462954,5.0,1090,Otis Guichon,"Sep 14, 2023",2,NE,Yes,
1601,850926453096,Site,1601,,484136,5792334,10.0,,Shane Hink,"Oct 18, 2023",22,N,Yes,"Nothing over 4 cm DBH 
No sample tree"
1539,502723080500,Site,1539,,473870,5786778,10.0,,Darclyn Charleyboy,"Sep 22, 2023",0,,Yes,"Nothing over 4cm DBH 
Plot near open rocky area"
1845,355652373043,Site,1845,,52.40783,124.19676,5.0,1090,David Landon,"Sep 12, 2023",5,NW,Yes,
1653,997216661823,Site,1653,,124.346456,52.347284,5.0,1140,Otis Guichon,"Oct 5, 2023",1,SE,Yes,
